mapping_id,dosage_form,inherits_from,release_type,condition_expression,cqa_template_id,requirement,default_role,merge_priority,rationale,source_ids,governance_class,validation_status,version,effective_from
QM001,tablet,,immediate_release,True,CQA_ASSAY,MANDATORY,MONITOR_ONLY,10,함량,SRC_ICH_Q6A,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM002,tablet,,immediate_release,True,CQA_CU_AV,MANDATORY,MONITOR_ONLY,10,함량균일성 기본,SRC_USP_905,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM003,tablet,,immediate_release,api.dose_mg < 25 or api.pct_w_w < 25,CQA_CU_AV,MANDATORY,DOE_RESPONSE,20,저용량: 같은 CQA에서 merge_priority가 높은 행이 QM002를 대체,SRC_USP_905,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM004,tablet,,immediate_release,True,CQA_DISSOLUTION,MANDATORY,DOE_RESPONSE,10,방출 성능,SRC_USP_711;SRC_ICH_Q6A,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM005,tablet,,immediate_release,True,CQA_DISINTEGRATION,CONDITIONAL,MONITOR_ONLY,10,붕해,SRC_USP_701,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM006,tablet,,*,coating == 'none',CQA_FRIABILITY,MANDATORY,DOE_RESPONSE,10,비코팅정 물리적 강도,SRC_USP_1216,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM007,tablet,,*,True,CQA_BREAKING_FORCE,MANDATORY,MONITOR_ONLY,10,파괴강도,SRC_USP_1217,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM008,tablet,,*,True,CQA_IMPURITIES,MANDATORY,MONITOR_ONLY,10,유연물질,SRC_ICH_Q3B,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM009,tablet,,*,'hygroscopic' in api.flags,CQA_WATER,CONDITIONAL,MONITOR_ONLY,10,흡습성,SRC_ICH_Q6A,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM010,tablet,,*,True,CQA_TABLET_WEIGHT_RSD,MANDATORY,MONITOR_ONLY,10,정제 중량편차(IPC). <905> 판정 절차와 별개,SRC_USP_905,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM011,dispersible_tablet,tablet,immediate_release,True,CQA_DISPERSIBILITY,MANDATORY,DOE_RESPONSE,10,분산정은 tablet mandatory CQA를 상속하고 분산 CQA 추가,SRC_PHEUR_TABLETS,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM012,dispersible_tablet,tablet,immediate_release,True,CQA_FINENESS_OF_DISPERSION,MANDATORY,MONITOR_ONLY,10,분산 미세도,SRC_PHEUR_TABLETS,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
QM013,*,,immediate_release,"api.bcs_class in ('II','IV')",CQA_DISSOLUTION,MANDATORY,DOE_RESPONSE,20,용해도 제한 약물,SRC_ICH_M9,COMPENDIAL,DRAFT_PENDING_REVIEW,1,2026-09-23
