dimension,score,label_ko,definition_ko,evidence_required,source_ids,governance_class,validation_status,version,effective_from
SEVERITY,5,매우 높음,"critical CQA 실패로 환자 안전·유효성 영향 (함량, 함량균일성, BCS II 용출)",CQA criticality 연결,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
SEVERITY,4,높음,critical CQA 규격 이탈 가능,CQA criticality 연결,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
SEVERITY,3,중간,비critical CQA 이탈 또는 공정 실패,CQA 연결,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
SEVERITY,2,낮음,외관·취급성 영향,—,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
SEVERITY,1,무시,품질 영향 없음,—,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
OCCURRENCE,UNKNOWN,미상,발생률 자료 없음 (기본값),—,SPEC:v6.1§3.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
OCCURRENCE,5,빈번,동일 조건 실측에서 반복 관찰,실측 발생 기록,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
OCCURRENCE,3,가끔,문헌·유사 제품에서 발생 보고,문헌,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
OCCURRENCE,1,드묾,발생률 자료로 낮음 확인. 시험 범위 내 미검출(예: DSC/FTIR 음성)은 부분 근거로만 기록,발생률 근거,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
DETECTABILITY,1,확실히 검출,원인 판별에 필요한 감도·표본추출·검출 시점을 갖춘 배치별 시험,test_method_id + 판별력 근거,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
DETECTABILITY,3,부분 검출,간접·표본 시험 또는 사후 검출,test_method_id,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
DETECTABILITY,5,검출 불가,시험·모니터링 없음 (예: 압축력 미기록),—,SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RULE,RPN_WHEN_O_UNKNOWN,RPN 미계산,O가 UNKNOWN이면 RPN을 계산하지 않고 S·조절가능성·근거로 처리 방향 결정,—,SPEC:v6.1§3.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RULE,HIGH_SEVERITY_RETENTION,고심각도 보존,S≥4 항목은 O와 무관하게 대체관리 + 승인 없이 제외 금지 (FE012),—,SPEC:v6.1§6.D3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
