variable_name,data_type,unit,allowed_values,definition,measurement_method_or_source,missing_value_action,normalization_notes,version
API_molar_absorptivity_low,Boolean,,,API molar absorptivity low,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
GI_stability_not_demonstrated,String/Number,,,GI stability not demonstrated,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
KF_side_reaction_or_water_release_bias,String/Number,,,KF side reaction or water release bias,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
absorbed_as_prodrug_unknown,Boolean,,,absorbed as prodrug unknown,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
accuracy_target,String/Number,,,accuracy target,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
acid_stage_release,String/Number,,,acid stage release,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
air_bubbles_affect_wetting_or_surface,String/Number,,,air bubbles affect wetting or surface,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
analytical_target_profile_missing,Boolean,,,analytical target profile missing,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
any_API_fails_M9_criteria,String/Number,,,any API fails M9 criteria,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
api_degradation_in_medium,String/Number,,,api degradation in medium,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
apparatus_2,String/Number,,,apparatus 2,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
apparatus_mechanical_qualification,String/Number,,,apparatus mechanical qualification,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
apparatus_medium_or_agitation_changed_without_comparability,String/Number,,,apparatus medium or agitation changed without comparability,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
approved_integration_control_missing,Boolean,,,approved integration control missing,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
bcs_class,String,,Class I|Class II|Class III|Class IV,BCS classification,BCS evidence review,Request_Data,Use canonical units/enums before rule evaluation,1.0
bcs_class_missing,Boolean,,,bcs class missing,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
bile_salt_or_lipid_sensitivity_unknown,Boolean,,,bile salt or lipid sensitivity unknown,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
blank_after_high_sample,String/Number,,,blank after high sample,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
buffer_precipitation_or_instrument_incompatibility,String/Number,,,buffer precipitation or instrument incompatibility,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
buffer_stage_release_below_target,String/Number,,,buffer stage release below target,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
caco2_used,Boolean,,,caco2 used,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
caco2_validation_status,String/Number,,,caco2 validation status,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
calibration_model_not_supported,String/Number,,,calibration model not supported,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
capsule_crosslinking_confirmed,Boolean,,,capsule crosslinking confirmed,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
carryover_limit,Number,,,carryover limit,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
change_control_missing,Boolean,,,change control missing,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
cleaning_method_QL,Number,,,cleaning method QL,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
cocrystal_former_screen_positive,String/Number,,,cocrystal former screen positive,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
column_equilibration_inadequate,String/Number,,,column equilibration inadequate,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
column_lot_or_equivalent_column_failure,String/Number,,,column lot or equivalent column failure,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
complexation_constant_and_dose_are_feasible,Boolean,,,complexation constant and dose are feasible,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
conventional_release_meets_target,String/Number,,,conventional release meets target,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
correction_not_applied,String/Number,,,correction not applied,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
critical_pair_resolution,Number,Rs,,Chromatographic resolution of critical pair,T_SPECIFICITY,Request_Data,Use canonical units/enums before rule evaluation,1.0
crystallization_onset_before_absorption_window,String/Number,,,crystallization onset before absorption window,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
cumulative_sample_volume_fraction,Number,,,cumulative sample volume fraction,Product-specific data or referenced confirmation test,Request_Data,Use canonical units/enums before rule evaluation,1.0
