excipient_id,excipient_name_en,excipient_name_kr,e_number,unii,cas_number,functional_category,secondary_function,route,dosage_form,typical_use_pct_min,typical_use_pct_max,iid_max_potency_mg,iid_max_potency_source_date,ema_annex_listed,ema_annex_threshold,ema_annex_concern,ema_annex_version,ema_annex_retrieved_on,pediatric_flag,moisture_sensitive_api_compatible,hygroscopic,reducing_sugar,alkaline_surface_ph,process_compatibility,incompat_trigger,source_ref,verification_status
EXC001,Lactose monohydrate,유당수화물,,TO_VERIFY,TO_VERIFY,diluent,binder(WG),oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 5 g (diabetes),"Galactose intolerance, total lactase deficiency, glucose-galactose malabsorption; diabetes at >=5 g/dose",EMA/CHMP/302620/2017 Rev.2,2026-07-24,caution,no,no,yes,no,DC;WG;DG,maillard_amine,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC002,Lactose anhydrous,무수유당,,TO_VERIFY,TO_VERIFY,diluent,binder,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 5 g (diabetes),Same as lactose monohydrate,EMA/CHMP/302620/2017 Rev.2,2026-07-24,caution,yes,no,yes,no,DC;DG,maillard_amine,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC003,Lactose spray-dried,분무건조유당,,TO_VERIFY,TO_VERIFY,diluent,binder,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 5 g (diabetes),Same as lactose monohydrate,EMA/CHMP/302620/2017 Rev.2,2026-07-24,caution,no,no,yes,no,DC,maillard_amine,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC004,Microcrystalline cellulose,미결정셀룰로오스,,TO_VERIFY,TO_VERIFY,diluent,binder;disintegrant,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC005,Silicified microcrystalline cellulose,실리시파이드미결정셀룰로오스,,TO_VERIFY,TO_VERIFY,diluent,binder;glidant,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;DG,,HPE;IID,SCHEMA_ONLY
EXC006,Powdered cellulose,분말셀룰로오스,,TO_VERIFY,TO_VERIFY,diluent,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC007,Mannitol,만니톨,E 421,TO_VERIFY,TO_VERIFY,diluent,sweetener,oral,tablet;capsule;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,10 g (oral),Mild laxative effect at >=10 g,EMA/CHMP/302620/2017 Rev.2,2026-07-24,acceptable,yes,no,no,no,DC;WG;DG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC008,Sorbitol,소르비톨,E 420,TO_VERIFY,TO_VERIFY,diluent,sweetener;humectant,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 5 mg/kg/day; 140 mg/kg/day (oral),Source of fructose - hereditary fructose intolerance (HFI); GI discomfort and laxative at 140 mg/kg/day,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,no,no,DC;WG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC009,Xylitol,자일리톨,E 967,TO_VERIFY,TO_VERIFY,diluent,sweetener,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,10 g (oral),Laxative effect at 10 g,EMA/CHMP/302620/2017 Rev.2,2026-07-24,acceptable,no,yes,no,no,DC;WG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC010,Isomalt,이소말트,E 953,TO_VERIFY,TO_VERIFY,diluent,sweetener,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 10 g,Hereditary fructose intolerance; mild laxative at 10 g,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,DC;WG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC011,Maltitol,말티톨,E 965,TO_VERIFY,TO_VERIFY,diluent,sweetener,oral,tablet;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 10 g,Hereditary fructose intolerance; mild laxative at 10 g,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,no,no,DC;WG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC012,Lactitol,락티톨,E 966,TO_VERIFY,TO_VERIFY,diluent,sweetener,oral,tablet;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 10 g,Sugar intolerance; mild laxative at 10 g,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,no,no,DC;WG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC013,Sucrose,백당,,TO_VERIFY,TO_VERIFY,diluent,sweetener;binder,oral,tablet;chewable;lozenge,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 5 g,"Fructose intolerance, glucose-galactose malabsorption, sucrase-isomaltase insufficiency; diabetes at 5 g; dental harm in chewables/lozenges on chronic use",EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,no,no,WG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC014,Glucose (dextrose),포도당,,TO_VERIFY,TO_VERIFY,diluent,sweetener,oral,tablet;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 5 g,Glucose-galactose malabsorption; diabetes at 5 g; dental harm in chewables on chronic use,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,yes,no,WG,maillard_amine,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
