rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
RQ001,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,result.batch_id is None,result,BLOCK_STAGE,BLOCK_STAGE,RESULT_NO_BATCH,WAITING_BATCH_RESULTS,batch_id가 없습니다.,,NONE,,,SPEC:v6.1§8.D.18,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ002,result_data_quality_rules,1,5,result,RESULT_QUALITY_GATE,not result.settings_within_tolerance,result,REQUEST_DATA,REQUEST_DATA,RESULT_SETTING_DEVIATION,WAITING_BATCH_RESULTS,실제 설정이 허용오차를 벗어났습니다. 실제값을 보존하고 deviation으로 기록하세요.,허용오차 이내면 actual settings로 분석. 원자료를 계획값에 맞게 고치지 말 것,NONE,,B9,SPEC:v6.1§8.D.18,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ003,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,result.test_method_version is None,result,BLOCK_STAGE,BLOCK_STAGE,RESULT_NO_METHOD_VERSION,WAITING_BATCH_RESULTS,시험법 버전이 없습니다.,,NONE,,,SPEC:v6.1§8.D.18,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ004,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,"result.unit != result.target_unit and not convertible(result.unit, result.target_unit)",result,BLOCK_STAGE,BLOCK_STAGE,RESULT_UNIT_UNCLEAR,WAITING_BATCH_RESULTS,단위를 변환할 수 없습니다.,,NONE,,,SPEC:v6.1§8.D.18,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ005,result_data_quality_rules,1,10,result,RESULT_QUALITY_GATE,result.n_individual_values == 0 and result.evidence_status == 'MEASURED_CONFIRMED',result,NA,WARNING,RESULT_NO_INDIVIDUAL_VALUES,,개별값이 없습니다. 요약값만 사용합니다.,,REASON_ONLY,researcher,,SPEC:v6.1§8.D.18,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ006,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,result.human_verification_status != 'CONFIRMED',result,BLOCK_STAGE,BLOCK_STAGE,RESULT_UNCONFIRMED,WAITING_RESULT_CONFIRMATION,확인되지 않은 결과는 분석하지 않습니다.,,NONE,,,SPEC:v6.1§14.7,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ007,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,result.deviation is not None and not result.deviation_resolved,result,BLOCK_STAGE,BLOCK_STAGE,UNRESOLVED_DEVIATION,DIAGNOSING,처리되지 않은 deviation이 있습니다.,,NONE,,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ008,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,result.replicate_independence == 'UNKNOWN',result,REQUEST_DATA,REQUEST_DATA,RESULT_REPLICATE_UNKNOWN,WAITING_BATCH_RESULTS,반복이 독립 배치인지 같은 배치 내 반복인지 확인하세요.,,NONE,,,SPEC:v6.1§6.D6,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ009,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,result.replicate_independence == 'WITHIN_BATCH' and result.counted_as_independent_run,result,BLOCK_STAGE,BLOCK_STAGE,RESULT_PSEUDO_REPLICATION,,"같은 배치(재시험, 재타정, 재주입 포함)의 반복을 독립 run으로 셀 수 없습니다.",,NONE,,,SPEC:v6.1§14.8,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ010,result_data_quality_rules,1,1,result,RESULT_QUALITY_GATE,"not evidence_permits(result.evidence_status, 'MODEL_FIT')",result,BLOCK_STAGE,BLOCK_STAGE,RESULT_EVIDENCE_NOT_PERMITTED,,이 근거 등급의 값은 분석 입력으로 쓸 수 없습니다.,evidence_governance_rules 조회,NONE,,A9,SPEC:v6.1§8.A.2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RQ011,result_data_quality_rules,1,20,result,RESULT_QUALITY_GATE,result.evidence_status == 'LITERATURE_DIGITIZED',result,NA,WARNING,RESULT_DIGITIZED,,디지타이징 값입니다. pure error와 확인 판정에는 쓰지 않습니다.,,REASON_ONLY,researcher,,SPEC:v6.1§8.A.2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
