rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
DS001,doe_design_selection_rules,1,10,design,DESIGN_SELECTION,plan.has_mixture,plan,NA,WARNING,DESIGN_MIXTURE_UNSUPPORTED,,조성 합계 제약이 있습니다. mixture 설계가 필요하지만 MVP 백엔드는 지원하지 않습니다 (DV013에서 실행 차단).,,REASON_ONLY,researcher,A10,SRC_MONTGOMERY_DAE,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS002,doe_design_selection_rules,1,15,design,DESIGN_SELECTION,plan.has_forbidden_combinations,plan,NA,WARNING,DESIGN_D_OPTIMAL_UNSUPPORTED,,불규칙 영역입니다. D-optimal이 필요하지만 MVP 백엔드는 지원하지 않습니다.,,REASON_ONLY,researcher,A10,SRC_MONTGOMERY_DAE,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS003,doe_design_selection_rules,1,15,design,DESIGN_SELECTION,plan.has_hard_to_change,plan,NA,WARNING,DESIGN_SPLIT_PLOT_UNSUPPORTED,,바꾸기 어려운 요인이 있습니다. split-plot이 필요하지만 MVP 백엔드는 지원하지 않습니다.,,REASON_ONLY,researcher,A10,SRC_MONTGOMERY_DAE,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS004,doe_design_selection_rules,1,20,design,DESIGN_SELECTION,plan.stage == 'SCREENING' and plan.n_continuous >= 3 and plan.n_categorical == 0,plan,NA,PASS,DESIGN_RES_IV_FF,,Resolution IV 이상 부분요인설계 + 중심점을 권고합니다.,,REASON_ONLY,researcher,,SRC_NIST_HANDBOOK,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS005,doe_design_selection_rules,1,20,design,DESIGN_SELECTION,plan.stage == 'SCREENING' and plan.n_categorical >= 1,plan,NA,PASS,DESIGN_FF_WITH_2LEVEL_CATEGORICAL,,범주형이 2수준이면 Res IV 부분요인설계에 포함합니다 (DSD는 MVP 미지원). 범주별 중심점을 둡니다.,3수준 이상 범주형은 DV013 차단,REASON_ONLY,researcher,,SRC_MONTGOMERY_DAE,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS006,doe_design_selection_rules,1,25,design,DESIGN_SELECTION,plan.design_type == 'PLACKETT_BURMAN' and plan.interactions_plausible,plan,NA,WARNING,DESIGN_RES_III_WARNING,,Plackett-Burman은 주효과와 2인자 상호작용이 부분적으로 섞입니다.,,REASON_ONLY,researcher,,SRC_PLACKETT_BURMAN_1946,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS007,doe_design_selection_rules,1,20,design,DESIGN_SELECTION,plan.n_factors <= const.rsm_max_factors and plan.n_categorical == 0 and plan.prior_evidence_approved,plan,NA,ROUTE,DESIGN_RSM_DIRECT,RSM_PLANNING,3요인 이하 연속요인이고 승인된 사전근거가 있어 RSM으로 직행합니다.,,REASON_ONLY,researcher,,SPEC:v6.1§5.1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS008,doe_design_selection_rules,1,30,design,DESIGN_SELECTION|RSM_PLANNING,plan.extreme_corner_risk and plan.n_continuous == 3 and plan.n_categorical == 0,plan,NA,PASS,DESIGN_BBD,,꼭짓점 위험이 있어 Box-Behnken을 권고합니다 (3개 연속요인).,,REASON_ONLY,researcher,,SRC_BOX_BEHNKEN_1960,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS009,doe_design_selection_rules,1,30,design,DESIGN_SELECTION|RSM_PLANNING,"plan.axial_must_stay_in_range and plan.n_continuous in (2,3) and plan.n_categorical == 0",plan,NA,PASS,DESIGN_FCCD,,축점을 범위 안에 두는 face-centered CCD를 권고합니다.,,REASON_ONLY,researcher,,SRC_BOX_WILSON_1951,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS010,doe_design_selection_rules,1,35,design,DESIGN_SELECTION|RSM_PLANNING,"plan.axial_points_safe and plan.n_continuous in (2,3) and plan.n_categorical == 0",plan,NA,PASS,DESIGN_CCD,,축점이 안전하여 CCD를 권고합니다.,,REASON_ONLY,researcher,,SRC_BOX_WILSON_1951,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DS011,doe_design_selection_rules,1,5,design,RSM_PLANNING,plan.screening_core_reusable,plan,NA,PASS,DESIGN_AUGMENT_TO_CCD,,screening core를 재사용해 축점과 블록 중심점을 추가합니다.,v6.1 §11 조건,REASON_AND_APPROVER,study_lead,,SPEC:v6.1§11,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
