trigger_id,urgency,condition_expression,measurement_id,satisfied_when,rationale,fallback_if_declined,result_keys,source_citation,verification_status,seed_review_status,notes
DRQ_SOLIDFORM,narrows_strategy,"tm_c is None and solid_form_zone is None and (bcs_solubility_provisional in ('low','unknown') or ionizable == True)",M_XRPD;M_DSC;M_TGA;M_KF,tm_c is not None and crystalline_form_id is not None,아무 고체상 정보도 없는 cold start 상태. Tier 1 세트(~10 mg)로 결정형·Tm·수화물·수분을 한 번에 확인하는 것이 가장 저렴한 시작점이다,예측만으로 진행한다. tg_est_c(⅔ 경험칙)만 쓰고 모든 후보에 provisional 태그를 단다,tm_c;crystalline_form_id;water_content_percent,알고리즘 문서 §4 Tier 1,VERIFIED_PRIMARY,pending_team_review,항상 가장 먼저 제시되는 요청(Tier 1)
DRQ_TM,narrows_strategy,"tm_c is None and (sig_enabling_required == True or bcs_solubility_provisional in ('low','unknown'))",M_DSC,tm_c is not None,DRQ_SOLIDFORM이 이미 발동했다면 중복이지만 XRPD·TGA만 받고 DSC를 건너뛴 경우의 보완 요청,tg_margin·GSE·Gate 4B 계산을 모두 미계산 상태로 둔다,tm_c,알고리즘 문서 §3.1,VERIFIED_PRIMARY,pending_team_review,DRQ_SOLIDFORM과 measurement_id 중복 시 요청 목록에서 병합
DRQ_SOL,narrows_strategy,"solubility_mg_per_ml is None and (bcs_solubility_provisional in ('low','unknown') or (logs_esol is not None and logs_gse is not None and abs(logs_esol - logs_gse) >= 1.0))",M_EQSOL,solubility_mg_per_ml is not None and solubility_fassif_mg_per_ml is not None,predicted 용해도가 낮거나 두 예측 모델(ESOL·GSE) 간 logS 편차가 1 log 이상이면 예측을 신뢰하지 않는다는 신호로 처리한다. Gate 3A 전체가 이 값 위에 선다,solubility_est_mg_per_ml(예측 중 최소값)로 계속한다. bcs_class는 절대 확정하지 않는다(불변식 I-1),solubility_mg_per_ml;solubility_fassif_mg_per_ml,Delaney 2004; Jain & Yalkowsky 2001,VERIFIED_SECONDARY,pending_team_review,두 가지 서로 다른 사유가 같은 요청으로 수렴한다 — 시연 시 사유 문구를 다르게 표시
DRQ_RESIDUE,refines_confidence,solubility_mg_per_ml is not None and solubility_residue_form_confirmed is not True,M_XRPD,solubility_residue_form_confirmed == True,측정 중 결정형 전환(무수에서 수화물로 혹은 준안정형에서 안정형으로)이 있었다면 그 용해도는 다른 고체형의 값이다,solubility_mg_per_ml은 provenance=unconfirmed_residue로 표시된 채 유지된다,solubility_residue_form_confirmed,Bauer et al. 2001 Pharm Res 18:859 (ritonavir),VERIFIED_SECONDARY,pending_team_review,
DRQ_PERM,narrows_strategy,dcs_subclass == 'undetermined' and peff_human_cm_s is None,M_PERM,peff_human_cm_s is not None,IIa(표면적 증가)와 IIb(용해도 상승)는 전략이 정반대인데 투과도 없이는 가를 수 없다,G4003이 두 방향 모두 후보로 넓혀 탐색을 계속한다(차단 없음),peff_human_cm_s,Butler & Dressman 2010,VERIFIED_SECONDARY,pending_team_review,
DRQ_THERM_STAB,narrows_strategy,sig_enabling_required == True and asd_process is None and tm_c is not None and thermally_stable_near_tm is None,M_DSC,thermally_stable_near_tm is not None,Tm 부근 등온 유지 후 재냉각과 재가열로 열분해 여부를 봐야 HME와 SDD 중 하나를 고를 수 있다,G4B003 기본값(SDD)으로 진행한다,thermally_stable_near_tm,Williams et al. 2013,PROVISIONAL,pending_team_review,DRQ_SOLIDFORM의 DSC와 별개 실험(등온 유지 프로토콜 추가)
DRQ_GFA,refines_confidence,"strategy in ('ASD_SDD','ASD_HME') and gfa_class is None",M_GFA,gfa_class is not None,⅔ 경험칙 Tg 추정과 API 단독 Tg 여유는 근사치다. 급랭 후 재가열 DSC로 재결정 여부를 직접 보면 ASD 후보의 신뢰도가 grounded로 올라간다,candidate.confidence = provisional을 유지한다,gfa_class,Baird Van Eerdenbrugh Taylor 2010,VERIFIED_SECONDARY,pending_team_review,Class I(급속 재결정)로 나오면 BT021과 같은 경로로 ASD 배제를 검토한다
DRQ_PKA,narrows_strategy,ionizable == True and api_pka_base is None and (solid_form_zone is None or sig_enabling_required == True),M_PKA,api_pka_base is not None,ΔpKa가 없으면 Gate 3B가 염과 공결정과 연속구간 중 아무것도 판정하지 못한다,solid_form_zone=undetermined를 유지한다,api_pka_base,Cruz-Cabeza 2012,VERIFIED_SECONDARY,pending_team_review,
DRQ_SALT_SCREEN,refines_confidence,"solid_form_zone in ('salt_likely','continuum') and is_salt == False",M_SALT_SCREEN,salt_screen_done == True,이번 실행을 막지는 않지만 더 단순한 해법인 염을 놓친 채 enabling 공정에 투자할 위험을 남긴다,권고만 표시하고 현재 후보는 그대로 진행한다,salt_screen_done;selected_counterion,Serajuddin 2007; Cruz-Cabeza 2012,VERIFIED_SECONDARY,pending_team_review,
DRQ_ASD_FEAS,refines_confidence,"strategy in ('ASD_SDD','ASD_HME')",M_ASD_FEAS,asd_feasibility_done == True,혼화성과 과포화 유지력과 가속 후 재결정 여부 없이는 ASD 후보를 grounded로 표시할 수 없다,candidate.confidence = provisional,asd_feasibility_done,Hancock & Parks 2000; Taylor & Zhang 2016,VERIFIED_SECONDARY,pending_team_review,
DRQ_SEDDS_FEAS,refines_confidence,strategy == 'LBF_SEDDS',M_SEDDS_FEAS,sedds_feasibility_done == True,소화 중 침전 여부를 확인해야 흡수 이점이 실재하는지 알 수 있다,candidate.confidence = provisional,sedds_feasibility_done,Pouton 2006; Williams et al. 2013,VERIFIED_SECONDARY,pending_team_review,
DRQ_CD_FEAS,refines_confidence,strategy == 'CD',M_CD_FEAS,cd_feasibility_done == True,안정도상수와 필요 CD 질량이 실용적인지 확인해야 한다,candidate.confidence = provisional,cd_feasibility_done,Higuchi & Connors 1965; Loftsson & Brewster 2010,VERIFIED_PRIMARY,pending_team_review,
DRQ_FORCED,refines_confidence,(has_flag('ester') or has_flag('lactam') or has_flag('phenol') or has_flag('secondary_amine')) and forced_degradation_done is not True,M_FORCED,forced_degradation_done == True,구조 경고가 예측한 분해 경로인 가수분해나 산화가 실제로 관찰되는지 확인이 필요하다,structural_flags만으로 배합금기 규칙(G5)은 계속 작동한다 — 이 요청은 확증용이다,forced_degradation_done,ICH Q1A(R2) 2.1.2,VERIFIED_PRIMARY,pending_team_review,
DRQ_PFLOW,narrows_strategy,flow_character is None and dose_mg is not None,M_PFLOW,flow_character is not None,직접타정 가능 여부(Gate 6R)를 좌우하는 값인데 아무 유동성 정보도 없다,recommended_routes를 보수적으로 좁혀(DG·WG만) 진행한다,flow_character;angle_of_repose_deg;compressibility_index_percent,USP General Chapter 1174,VERIFIED_PRIMARY,pending_team_review,
DRQ_PSD,refines_confidence,strategy == 'MICRO' and psd_dissolution_done is not True,M_PSD,psd_dissolution_done == True,목표 입도에서 용출이 실제로 개선된다는 근거 없이는 미분화 전략을 확정할 수 없다,candidate.confidence = provisional,psd_dissolution_done,Butler & Dressman 2010,VERIFIED_SECONDARY,pending_team_review,
DRQ_MOISTURE,refines_confidence,has_step('wet_granulation') and water_content_percent is None,M_KF;M_TGA,water_content_percent is not None,수분 함량이 수계 공정 안정성 판단의 출발점이다,candidate.confidence = provisional,water_content_percent,알고리즘 문서 §4 Tier 1,VERIFIED_PRIMARY,pending_team_review,DRQ_SOLIDFORM에서 이미 받았다면 자동 충족
