scale_id,parameter,method,value_min,value_max,unit,flow_character,flow_character_normalized,manufacturing_note,source_doc,source_chapter,source_table,retrieved_on,verification_status
FLW001,angle_of_repose,USP1174_fixed_base_variable_height,25,30,degrees,Excellent,Excellent,,USP,<1174> Powder Flow,Table 1,2026-07-24,VERIFIED
FLW002,angle_of_repose,USP1174_fixed_base_variable_height,31,35,degrees,Good,Good,,USP,<1174> Powder Flow,Table 1,2026-07-24,VERIFIED
FLW003,angle_of_repose,USP1174_fixed_base_variable_height,36,40,degrees,Fair - aid not needed,Fair,,USP,<1174> Powder Flow,Table 1,2026-07-24,VERIFIED
FLW004,angle_of_repose,USP1174_fixed_base_variable_height,41,45,degrees,Passable - may hang up,Passable,문헌상 40-50 구간에서도 만족스럽게 제조된 제형 사례 존재,USP,<1174> Powder Flow,Table 1,2026-07-24,VERIFIED
FLW005,angle_of_repose,USP1174_fixed_base_variable_height,46,55,degrees,"Poor - must agitate, vibrate",Poor,안식각 50 초과 시 제조 목적상 허용되는 경우가 드묾,USP,<1174> Powder Flow,Table 1,2026-07-24,VERIFIED
FLW006,angle_of_repose,USP1174_fixed_base_variable_height,56,65,degrees,Very poor,Very poor,안식각 50 초과 시 제조 목적상 허용되는 경우가 드묾,USP,<1174> Powder Flow,Table 1,2026-07-24,VERIFIED
FLW007,angle_of_repose,USP1174_fixed_base_variable_height,66,,degrees,"Very, very poor","Very, very poor",,USP,<1174> Powder Flow,Table 1,2026-07-24,VERIFIED
FLW008,compressibility_index,USP1174_250mL_cylinder_100g,,10,%,Excellent,Excellent,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW009,compressibility_index,USP1174_250mL_cylinder_100g,11,15,%,Good,Good,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW010,compressibility_index,USP1174_250mL_cylinder_100g,16,20,%,Fair,Fair,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW011,compressibility_index,USP1174_250mL_cylinder_100g,21,25,%,Passable,Passable,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW012,compressibility_index,USP1174_250mL_cylinder_100g,26,31,%,Poor,Poor,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW013,compressibility_index,USP1174_250mL_cylinder_100g,32,37,%,Very poor,Very poor,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW014,compressibility_index,USP1174_250mL_cylinder_100g,38,,%,"Very, very poor","Very, very poor",,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW015,hausner_ratio,USP1174_250mL_cylinder_100g,1.00,1.11,ratio,Excellent,Excellent,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW016,hausner_ratio,USP1174_250mL_cylinder_100g,1.12,1.18,ratio,Good,Good,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW017,hausner_ratio,USP1174_250mL_cylinder_100g,1.19,1.25,ratio,Fair,Fair,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW018,hausner_ratio,USP1174_250mL_cylinder_100g,1.26,1.34,ratio,Passable,Passable,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW019,hausner_ratio,USP1174_250mL_cylinder_100g,1.35,1.45,ratio,Poor,Poor,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW020,hausner_ratio,USP1174_250mL_cylinder_100g,1.46,1.59,ratio,Very poor,Very poor,,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
FLW021,hausner_ratio,USP1174_250mL_cylinder_100g,1.60,,ratio,"Very, very poor","Very, very poor",,USP,<1174> Powder Flow,Table 2,2026-07-24,VERIFIED
