rule_id,excipient_name_en,excipient_name_kr,e_number,route,age_group,age_min_value,age_min_unit,age_max_value,age_max_unit,threshold_value,threshold_unit,threshold_basis,comparator,action,rationale,leaflet_requirement,smpc_requirement,source_doc,source_version,source_updated_on,retrieved_on,verification_status
PED001,Aspartame,아스파탐,E 951,oral,PKU_patient_any_age,,,,,0,mg,per_dose,gt,HARD_FAIL,아스파탐은 경구 섭취 시 위장관에서 가수분해되며 주요 분해산물 중 하나가 페닐알라닌. PKU 환자에서 유해,페닐알라닌 공급원이며 PKU에서 유해할 수 있음을 기재,해당 없음(금기),EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED002,Aspartame,아스파탐,E 951,oral,infant_under_12weeks,0,weeks,12,weeks,0,mg,per_dose,gt,ESCALATE_TO_HUMAN,생후 12주 미만 영아에서의 아스파탐 사용을 평가할 비임상·임상 데이터가 모두 부재,함량(mg/단위) 기재,12주 미만 영아 데이터 부재를 SmPC에 고려,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED003,Aspartame,아스파탐,E 951,oral,all,,,,,0,mg,per_dose,gt,LABEL_REQUIRED,threshold Zero — 함유 시 무조건 표기 대상,함량(mg/단위) 및 PKU 경고 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED004,Phenylalanine,페닐알라닌,,all,PKU_patient_any_age,,,,,0,mg,per_dose,gt,HARD_FAIL,PKU 환자에서 페닐알라닌 축적으로 유해,함량 및 PKU 경고 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017 (Corrigendum 19/11/2018),2026-07-24,VERIFIED
PED005,Benzoic acid / benzoates,벤조산 및 벤조산염,E 210/211/212,oral,neonate_under_4weeks,0,weeks,4,weeks,0,mg,per_dose,gt,HARD_FAIL,알부민에서 밀려난 빌리루빈 증가로 신생아 황달이 악화될 수 있으며 핵황달(뇌조직 비결합 빌리루빈 침착)로 진행 가능,생후 4주 이하 신생아에서 황달을 악화시킬 수 있음을 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED006,Benzoic acid / benzoates,벤조산 및 벤조산염,E 210/211/212,all,all,,,,,0,mg,per_dose,gt,LABEL_REQUIRED,threshold Zero — 함유 시 무조건 함량 표기,함량(mg/단위) 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED007,Benzyl alcohol,벤질알코올,,oral,neonate_under_4weeks,0,weeks,4,weeks,0,mg,per_dose,gt,HARD_FAIL,신생아 정맥투여에서 gasping syndrome 및 사망 보고. 독성 발현 최소량은 알려져 있지 않음,생후 4주 이하 신생아에 투여 금지(의사 권고 시 예외),신생아 사용 시 SmPC 4.4 경고 필요,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED008,Benzyl alcohol,벤질알코올,,oral,child_under_3years,0,years,3,years,0,mg,per_dose,gt,REVIEWER_FLAG,3세 미만 소아에서 축적으로 인한 위험 증가 — 1주 초과 사용 제한,3세 미만에서 1주 초과 사용 금지(의사·약사 상담 시 예외),,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED009,Cyclodextrins,시클로덱스트린류,E 459 등,oral,child_under_2years,0,years,2,years,0,mg,per_dose,gt,ESCALATE_TO_HUMAN,2세 미만 소아에서의 시클로덱스트린 영향에 대한 정보 불충분 — 환자별 위험/이익 판단 필요,2세 미만 소아에 의사 권고 없이 사용 금지,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED010,Cyclodextrins,시클로덱스트린류,E 459 등,all,all,,,,,20,mg/kg/day,body_weight_per_day,gt,LABEL_REQUIRED,동물시험 및 인체 경험상 20 mg/kg/day 미만에서는 유해영향 예상되지 않음,함량 기재 및 2세 미만 제한 문구,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED011,Cyclodextrins,시클로덱스트린류,E 459 등,oral,all,,,,,200,mg/kg/day,body_weight_per_day,gt,LABEL_REQUIRED,고용량에서 가역적 설사 및 맹장 확대(동물),설사 등 소화기 문제 유발 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
