ticket_id,sprint,title,spec_ref,scope,acceptance,depends_on
S0-01,0,데이터 계약 Pydantic 모델,§10,"CandidateDevelopmentHandoff, CQASpec(acceptance_operator 포함), FactorDefinition, DoEPlan, FactorScreeningDecision, TestResult, ResponseModel(ACCEPTED_WITH_FLAGS), RegionScope, DesignSpaceVersion, VerificationPoint·Plan, OverrideDecision",필드가 명세 §10과 일치,
S0-02,0,AST 화이트리스트 룰 평가기 (production),§7.3,"validate_07_doe.py의 ev()를 모듈로 승격. allowed_ast_nodes 외 거부, generator 바인딩, null 정책, Python eval 미사용",rule_fixtures.json 48건 통과,S0-03
S0-03,0,07_doe 룰북 로더,"§7.2, manifest","YAML manifest, load_enabled/enforcement_enabled, 모드별 최소 validation_status, const 네임스페이스, 함수 registry 바인딩",DRAFT 규칙이 production에서 집행되지 않음,S0-01
S0-04,0,CI 검증 파이프라인,§15,PR마다 validate_07_doe.py + pytest,errors=0이 아니면 실패,
S1-01,1,설계 생성 adapter (pyDOE3),"§6 D5, §7.3","부분요인·PB·BBD·CCD·FCCD, coded↔actual, seed, run order, backend_supports","교과서 설계표 일치, 동일 seed 동일 순서",S0-01
S1-02,1,설계 검증기,#15,"matrix_rank(상대 tol), 잔차 df, 중심점, 범위, 금지조합, balance ≥ 0, 블록 교락",DV 규칙 context 생성,S1-01
S1-03,1,회귀 적합·진단,"§6 D8, #20","OLS 전체 이차(+블록), pure error, LOF(계산 불가 구분), PRESS 예측 R², Cook's D, leverage, 잔차 패턴","골든 값 일치, NIST StRD 상대오차 < 1e-7",S0-01
S1-04,1,연구자 승인 모형 축소,§6 D8,"계층성 검사, 새 ResponseModel 버전, selection_history",마손도 선형 축소 예측 R² 0.824,S1-03
S1-05,1,공동확률 영역,"§6 D9, #21","t 예측분포, 통과확률 곱, convex hull domain mask, 분모=domain 격자, marginal 저장","평균 0.772, 공동 0.476 (±0.01)",S1-03
S1-06,1,권장 setpoint,§6 D9,domain 경계 거리 ≥ 0.1 coded 중 공동확률 최대,"2.7/12.5/6.8, P 0.991",S1-05
S1-07,1,확인점 제안 + family PI,§6 D10,"SETPOINT/BOUNDARY/ROBUSTNESS 후보, Bonferroni 개별 수준, 잠금 값 생성",setpoint DE30 82.3 (71.9–92.8),S1-06
S1-08,1,2×2 확인 판정 gate,"§6 D10, #22","필수점만 판정, 규격=전 적용 CQA, PI=DOE_RESPONSE, REFERENCE_EXISTING 참고 평가",VR fixture 통과,S1-07
S1-09,1,골든 테스트 pytest화,§15,compute_lornoxicam_golden.py 기대값을 허용오차 assert로,CI 통과,S1-05
S2-01,2,artifact → RuleContext 매핑,§7.3,"context_schema 전 루트 매핑, 매핑 버전 기록",모든 규칙 required_inputs 충족 또는 missing_value_action,S0-02
S2-02,2,룰 집행기,"§7.2, #23","전 verdict 보존, 최강 effect 전이, 같은 강도 priority tie-break, 전이표 조회, 미등록 → WAITING_HUMAN_TRIAGE",전이표 밖 전이 0건,S2-01
S3-01,3,상태기계 + 실행 서브사이클,"§5.1, §5.2","전 상태·전이, 전역 예외 복귀 지점",모든 WAITING_*_APPROVAL 반려 전이 테스트,S2-02
S3-02,3,이벤트 저장·재개,"§3.1, §13","checkpoint, idempotency key, optimistic lock","중복 적용 0, 동시 승인 1건만 성공",S3-01
S3-03,3,승인·override API,"§2.2, §13, #3","OverrideDecision 기록, 차단 규칙 override 거부",AA017 동작,S3-01
S3-04,3,결과 제출·확인 API,"§3.8, #18","CSV 업로드, 파싱, 연구자 확인, 품질 gate",Lornoxicam fixture 업로드 → 15 run 확정,S3-01
S4-01,4,CQA mapper,"§3.2, #6, #7","템플릿·상속·merge_priority, 역할 제안, acceptance 필수",CR fixture 통과,S2-02
S4-02,4,FMEA engine,"§3.3, #8, #9","seed 행, S/O/D, UNKNOWN 시 RPN 미계산, 행 단위 편집 권한","FE012, AA004 동작",S4-01
S4-03,4,FMEA 가설 에이전트 (LLM),§3.3,"구조화 JSON, LLM_HYPOTHESIS 태그, 수치 생성 금지",근거 등급 변경 불가,S4-02
S4-04,4,RangeProposer,"§3.4, #11","center=handoff, 경계 출처, |range contrast| 폭 검사(NOT_CHECKED 허용), balance 검사, 범위 확인 run 제안",FR fixture 통과,S4-02
S5-01,5,설명 에이전트 (LLM),§3,"설계 선택 사유, 모델 flag 설명, 영역 해석",수치는 엔진 출력 인용만,S1-08
S5-02,5,영역 단면 시각화,§12.2,"Plotly 단면, domain mask, 공동확률 등고선, setpoint·확인점",데모 장면 7,S1-05
S5-03,5,trace 화면,§18,candidate→region 식별자 역추적,§18 trace 재현,S3-02
S5-04,5,데모 스크립트,§19,"demo 모드, 연구자 입력 가정 고정, 9개 장면",리허설 통과,S5-02
S6-01,6,screening 분석·증강,"§6 D7, #19, #16","효과구간 판정(상호배타), alias, 곡률, FACTOR_REDEFINED",SA fixture 통과,S1-03
S6-02,6,진단·reflection 에이전트,"§3.9, §3.10","경쟁 가설 ≤ 3, 판별시험, directive 4종",,S3-01
S6-03,6,run sheet 컴파일,"§3.7, #17","질량수지, 설비 용량, 근거 없는 설정값 REQUEST_DATA",RS 규칙,S3-01
S6-04,6,외부 설계 import,§3.5,"동일 Validator, 권고와 다르면 OverrideDecision",AA008,S1-02
