measurement_id,name_kr,tier,indicative_sample_mg,method_summary,output_fields,unlocks,source_citation,verification_status,seed_review_status,notes
M_XRPD,X선 분말회절 (XRPD),1,10,분말 시료를 회절계에 로딩해 결정형 존재 여부와 회절 패턴을 얻는다,crystalline_form_id;is_amorphous_halo,결정/무정형 판별 · 다형 스크리닝 1차 확인 · 용해도 측정 후 잔사 재확인,Aulton's Pharmaceutics 6th ed. (Aulton & Taylor 2021),VERIFIED_PRIMARY,pending_team_review,단일 회절 패턴만으로 다형 전체를 배제할 수 없음 — M_POLYSCR과 상보적
M_DSC,시차주사열량법 (DSC),1,10,10 °C/min·N2 분위기로 승온하며 흡열/발열 전이를 기록한다,tm_c;delta_hf_j_g;multiple_endotherms,Tm·ΔHf 확정 · 다중 흡열 시 다형/용매화물 의심 신호 · Gate 4B 열안정 판단의 출발점,Aulton's Pharmaceutics 6th ed.,VERIFIED_PRIMARY,pending_team_review,승온 중 관찰되는 흡열이 실제 저장조건 거동과 다를 수 있음(§8.2 DSC 단독 판정 금지와 같은 주의)
M_TGA,열중량분석 (TGA),1,10,승온하며 중량손실을 기록한다. 100–150 °C 구간 손실은 수화물/용매화물/표면수분을 시사,weight_loss_100_150c_percent;decomposition_onset_c,수화물·용매화물 의심 · 열분해 개시온도(Gate 4B 열안정 판단 보조),Aulton's Pharmaceutics 6th ed.,VERIFIED_PRIMARY,pending_team_review,
M_KF,Karl Fischer 적정,1,10,전량 또는 전기량 KF 적정으로 수분 함량을 정량한다,water_content_percent,수분 함량 확정 — DVS·공정 민감도 판단의 기준점,Aulton's Pharmaceutics 6th ed.,VERIFIED_PRIMARY,pending_team_review,
M_DVS,동적증기수착 (DVS),2,30,0–90 %RH·25 °C에서 단계별 평형 후 질량 변화를 기록한다,hygroscopicity_class;moisture_uptake_percent_80rh,흡습성 등급 산정 → 포장 필요성 신호(포장 사양 자체는 범위 밖),Ph. Eur. 5.11 (Characters Section — hygroscopicity classification),VERIFIED_PRIMARY,pending_team_review,
M_PKA,potentiometric/UV-metric pKa 적정,2,30,Sirius T3형 전위차 적정 또는 UV-metric 적정. 난용성이면 cosolvent 적정 후 Yasuda–Shedlovsky 외삽으로 수용액 pKa를 구한다,pka_values_json,Gate 3B ΔpKa 계산의 api_pka_base,알고리즘 문서 §3.2 (Sirius T3 · Yasuda–Shedlovsky),VERIFIED_SECONDARY,pending_team_review,여러 이온화 자리가 있으면 모든 pKa를 함께 보고
M_LOGPD,logP/logD 실측,2,30,shake-flask 또는 potentiometric 방법으로 옥탄올/물 분배계수를 측정한다,logp_measured;logd74_measured,cLogP(RDKit) 대비 실측 보정 — 현재 게이트에서 필수 트리거는 없음(선택 제공),알고리즘 문서 §3.2,VERIFIED_SECONDARY,pending_team_review,자동 요청 트리거 없음. 사용자가 선제적으로 제공 가능
M_EQSOL,평형용해도 (다중 매질),2,30,"24–48 h·37 °C 평형 후 HPLC 정량. 매질: pH 1.2/4.5/6.8, water, 가능하면 FaSSIF-V2. 평형 후 잔사를 반드시 XRPD로 재확인(M_XRPD)",solubility_mg_per_ml;solubility_fassif_mg_per_ml,Gate 3A D0·DCS 판정의 근간,ICH M9 (2019); Jantratid et al. 2008 Pharm Res 25:1663 (FaSSIF-V2),VERIFIED_PRIMARY,pending_team_review,잔사 다형 전환 미확인 시 측정값이 다른 고체형의 용해도일 수 있음(Bauer et al. 2001 ritonavir 사례)
M_PERM,투과도 (Caco-2 또는 PAMPA),2,30,"Caco-2 단층 투과 실험(능동수송·유출펌프 반영) 또는 PAMPA(수동확산만, 세포 없음)",peff_human_cm_s,Gate 3A DCS IIa/IIb 하위분류의 두 번째 축,ICH M9 (2019) 2.2,VERIFIED_SECONDARY,pending_team_review,PAMPA는 능동수송·유출펌프를 반영하지 않아 과소평가 가능
M_IDR,고유용출속도 (IDR),2,30,rotating disk(Wood's apparatus)·37 °C·100 rpm으로 단위면적당 용출속도를 측정한다,idr_mg_min_cm2,DCS IIa 판정 보조 · 자동 요청 트리거 없음(선택),Yu et al. 2004 Int J Pharm 270:221,VERIFIED_SECONDARY,pending_team_review,
