reason_code,category,description_ko,from_states,next_state,artifact_side_effect,source_ids,governance_class,validation_status,version,effective_from
MISSING_INPUT,DATA,필수 입력 누락,ENTRY_READINESS,WAITING_REQUIRED_DATA,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
UNRESOLVED_HARD_FAIL,DATA,상류 Hard Fail 미해소,ENTRY_READINESS,INELIGIBLE,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RANGE_MISSING,DATA,요인 범위·근거 누락,FACTOR_READINESS,WAITING_FACTOR_DATA,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
CATEGORY_PROTOCOL_MISSING,DATA,범주 수준 실행 방법 없음,FACTOR_READINESS,WAITING_FACTOR_DATA,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
BOUNDS_UNCERTAIN,DESIGN,끝점 제조 가능성 불확실,FACTOR_READINESS,RANGE_FINDING_RUNS,range-finding run은 fitting 제외,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
EMPTY_FACTOR_INTERSECTION,STRATEGY,실행 가능 범위 교집합 없음,FACTOR_READINESS,STRATEGY_REVIEW,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
DESIGN_RSM_DIRECT,DESIGN,RSM 직행,DESIGN_SELECTION,RSM_PLANNING,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
UNSAFE_OR_INFEASIBLE_POINT,DESIGN,안전·설비·조성 불가능 점,SCREENING_PLANNING;RSM_PLANNING;RUN_SHEET_COMPILE,DESIGN_REPLAN,plan → REJECTED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
DESIGN_RANK_DEFICIENT,DESIGN,모형 항 추정 불가,SCREENING_PLANNING;RSM_PLANNING,DESIGN_REPLAN,plan → REJECTED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
DESIGN_NO_RESIDUAL_DF,DESIGN,잔차 자유도 없음,SCREENING_PLANNING;RSM_PLANNING,DESIGN_REPLAN,plan → REJECTED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
DESIGN_MIXTURE_SUM_VIOLATED,DESIGN,조성 합계 위반,SCREENING_PLANNING;RSM_PLANNING,DESIGN_REPLAN,plan → REJECTED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
UNRESOLVED_ALIAS,ANALYSIS,alias 미해소,SCREENING_ANALYSIS,SCREENING_AUGMENTATION,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
INCONCLUSIVE,ANALYSIS,효과구간이 기준에 걸침,SCREENING_ANALYSIS,SCREENING_AUGMENTATION,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
FACTOR_REDEFINED,DESIGN,요인 종류·척도 재정의,SCREENING_ANALYSIS,FACTOR_READINESS,FactorDefinition 새 버전,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
CURVATURE_DETECTED,ANALYSIS,곡률 감지,SCREENING_ANALYSIS,RSM_PLANNING,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
NO_ACTIVE_FACTOR,STRATEGY,활성 요인 없음,SCREENING_ANALYSIS,STRATEGY_REVIEW,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
HIGH_PURE_ERROR,PROCESS_METHOD,반복 오차 과다,SCREENING_ANALYSIS;MODEL_VALIDATION,DIAGNOSING,model → HOLD,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
MODEL_FLAGGED,ANALYSIS,"과적합 의심, 연구자 판단",MODEL_VALIDATION,WAITING_MODEL_APPROVAL,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
MODEL_INVALID,ANALYSIS,"모델 무효(rank, df, LOF)",MODEL_VALIDATION,RSM_AUGMENTATION,model → REJECTED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
EMPTY_COMMON_REGION,STRATEGY,공동 영역 없음,REGION_COMPUTATION,STRATEGY_REVIEW,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
VERIF_OUTSIDE_PI,VERIFICATION,"규격 통과, family PI 밖",VERIFICATION_GATE,RSM_AUGMENTATION,region → INVALIDATED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
VERIF_SPEC_FAIL,VERIFICATION,필수 확인점 규격 실패,VERIFICATION_GATE,DIAGNOSING,region → INVALIDATED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
VERIF_ALL_PASS,VERIFICATION,필수 확인점 모두 통과,VERIFICATION_GATE,WAITING_FINAL_APPROVAL,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RUN_DATA_MISSING,DATA,run 설정값 누락,RUN_SHEET_COMPILE,WAITING_RUN_DATA,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RESULT_NO_BATCH,DATA,batch_id 없음,RESULT_QUALITY_GATE,WAITING_BATCH_RESULTS,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RESULT_SETTING_DEVIATION,DATA,설정 허용오차 이탈,RESULT_QUALITY_GATE,WAITING_BATCH_RESULTS,deviation 기록,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RESULT_NO_METHOD_VERSION,DATA,시험법 버전 없음,RESULT_QUALITY_GATE,WAITING_BATCH_RESULTS,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RESULT_UNIT_UNCLEAR,DATA,단위 변환 불가,RESULT_QUALITY_GATE,WAITING_BATCH_RESULTS,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RESULT_REPLICATE_UNKNOWN,DATA,반복 독립성 미상,RESULT_QUALITY_GATE,WAITING_BATCH_RESULTS,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
RESULT_UNCONFIRMED,DATA,결과 미확인,RESULT_QUALITY_GATE,WAITING_RESULT_CONFIRMATION,,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
UNRESOLVED_DEVIATION,DATA,deviation 미처리,RESULT_QUALITY_GATE,DIAGNOSING,result → EXCLUDED,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
CANDIDATE_PREMISE_FAILURE,STRATEGY,후보 전제 붕괴,WAITING_DIRECTIVE_APPROVAL;STRATEGY_REVIEW,CLOSED_SUPERSEDED,child candidate 이벤트,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
LINEAGE_MISMATCH,GOVERNANCE,lineage·scope 불일치,*,WAITING_AUDIT_REVIEW,복귀 지점 저장,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
UNKNOWN,GOVERNANCE,등록되지 않은 실패,*,WAITING_HUMAN_TRIAGE,복귀 지점 저장,SPEC:v6.1§5.3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,1,2026-09-23
