rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
VR001,verification_rules,1,1,verification,WAITING_VERIFICATION_PLAN_APPROVAL,'SETPOINT' not in plan.point_roles or 'BOUNDARY' not in plan.point_roles or 'ROBUSTNESS' not in plan.point_roles,plan,BLOCK_STAGE,BLOCK_STAGE,VERIF_ROLES_MISSING,,"필수 확인점(setpoint, boundary, robustness)이 모두 필요합니다.",,NONE,,,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR018,verification_rules,1,1,verification,WAITING_VERIFICATION_PLAN_APPROVAL,verification.pi_policy is None,verification,BLOCK_STAGE,BLOCK_STAGE,VERIF_PI_POLICY_MISSING,,"family 예측구간 정책(비교 수, family alpha, 다중성 보정)이 필요합니다.",,NONE,,B5,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR002,verification_rules,1,1,verification,VERIFICATION_GATE,plan.locked_at is None or (verification.first_result_submitted_at is not None and plan.locked_at >= verification.first_result_submitted_at),plan;verification,BLOCK_STAGE,BLOCK_STAGE,VERIF_NOT_PRELOCKED,,확인계획은 첫 결과 제출 전에 잠겨야 합니다.,locked_hash와 모델·규격·PI 버전 고정,NONE,,A4,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR012,verification_rules,1,1,verification,WAITING_VERIFICATION_PLAN_APPROVAL|VERIFICATION_GATE,verification.results_public_before_lock,verification,BLOCK_STAGE,BLOCK_STAGE,VERIF_RESULTS_PUBLIC_BEFORE_LOCK,,결과가 이미 공개된 배치(문헌 등)는 사전 확인배치가 될 수 없습니다.,REFERENCE_EXISTING으로만 등록,NONE,,A4,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR003,verification_rules,1,1,verification,VERIFICATION_GATE,"set_intersects([p.batch_id for p in required_points], model.input_batch_ids) or set_intersects([p.parent_blend_id for p in required_points], fit_blend_ids)",required_points;model;fit_blend_ids,BLOCK_STAGE,BLOCK_STAGE,VERIFICATION_REUSED_IN_FIT,,확인점이 적합 데이터와 독립이 아닙니다 (배치 또는 블렌드 공유).,result_id가 아닌 독립 제조단위 ID로 판정,NONE,,A4,SPEC:v6.1§14.16,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR013,verification_rules,1,1,verification,VERIFICATION_GATE,distinct_count(p.batch_id for p in required_points) < len(required_points),required_points,BLOCK_STAGE,BLOCK_STAGE,VERIF_BATCH_REUSED_ACROSS_ROLES,,같은 배치를 여러 확인점에 쓸 수 없습니다.,,NONE,,A4,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR014,verification_rules,1,1,verification,VERIFICATION_GATE,len(required_points) == 0 or any(not p.coverage_complete or not p.results_confirmed for p in required_points),required_points,BLOCK_STAGE,BLOCK_STAGE,VERIF_COVERAGE_INCOMPLETE,,필수 확인점 × 적용 CQA 결과가 모두 확정되어야 합니다.,빈 집합 차단,NONE,,A4,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR015,verification_rules,1,1,verification,VERIFICATION_GATE,"any(not evidence_permits(p.evidence_status, 'VERIFICATION') for p in required_points)",required_points,BLOCK_STAGE,BLOCK_STAGE,VERIF_EVIDENCE_NOT_PERMITTED,,문헌·합성·미확인 결과는 확인 판정에 쓸 수 없습니다.,,NONE,,A9,SPEC:v6.1§8.A.2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR004,verification_rules,1,10,verification,VERIFICATION_GATE,"point.role in ('SETPOINT','BOUNDARY','ROBUSTNESS') and point.spec_pass_all_applicable and point.within_family_pi_all_doe",point,NA,PASS,VERIF_POINT_PASS,,"규격 통과, family 예측구간 안입니다.",,REASON_ONLY,researcher,,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR005,verification_rules,1,1,verification,VERIFICATION_GATE,"point.role in ('SETPOINT','BOUNDARY','ROBUSTNESS') and point.spec_pass_all_applicable and not point.within_family_pi_all_doe",point,NA,INVALIDATE,VERIF_OUTSIDE_PI,RSM_AUGMENTATION,규격은 통과했지만 family 예측구간을 벗어났습니다. 영역을 무효화하고 모델을 보강합니다.,"PI는 DOE_RESPONSE만, Bonferroni 동시구간",NONE,,"A3, B5",SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR006,verification_rules,1,1,verification,VERIFICATION_GATE,"point.role in ('SETPOINT','BOUNDARY','ROBUSTNESS') and not point.spec_pass_all_applicable",point,NA,INVALIDATE,VERIF_SPEC_FAIL,DIAGNOSING,규격 실패입니다. 영역을 무효화하고 진단합니다.,규격은 MONITOR_ONLY 포함 모든 적용 CQA,NONE,,A3,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR016,verification_rules,1,20,verification,VERIFICATION_GATE,point.role == 'REFERENCE_EXISTING' and not (point.spec_pass_all_applicable and point.within_family_pi_all_doe),point,NA,WARNING,REFERENCE_REVIEW_REQUESTED,,참고 배치가 예측과 다릅니다. 영역에는 영향이 없으며 검토 요청만 생성합니다.,승격·무효화 근거 아님,REASON_ONLY,researcher,A3,SPEC:v6.1§14.25,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR017,verification_rules,1,1,verification,WAITING_VERIFICATION_PLAN_APPROVAL,point.role == 'CHALLENGE' and point.expected_outcome == 'FAIL' and (point.expected_fail_probability is None or point.expected_fail_probability < const.challenge_min_fail_probability),point,BLOCK_STAGE,BLOCK_STAGE,VERIF_CHALLENGE_EXPECTATION_UNJUSTIFIED,,CHALLENGE 점의 FAIL 예상에는 실패 CQA와 예측 실패확률 근거가 필요합니다.,공동 통과확률 < 0.90 ≠ 실패확률 > 0.5,NONE,,B6,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR007,verification_rules,1,10,verification,VERIFICATION_GATE,point.role == 'CHALLENGE' and point.expected_outcome == 'FAIL' and not point.spec_pass_all_applicable,point,NA,PASS,VERIF_CHALLENGE_CONFIRMED,,음성대조가 예측대로 불합격했습니다 (제한적 추가 근거).,,REASON_ONLY,researcher,,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR008,verification_rules,1,20,verification,VERIFICATION_GATE,point.role == 'CHALLENGE' and point.spec_pass_all_applicable,point,NA,WARNING,VERIF_CHALLENGE_UNEXPECTED_PASS,,음성대조가 통과했습니다. 영역이 보수적일 수 있습니다.,,REASON_ONLY,researcher,,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
VR009,verification_rules,1,1,verification,WAITING_FINAL_APPROVAL,"any(p.role not in ('SETPOINT','BOUNDARY','ROBUSTNESS') for p in promotion_basis_points)",promotion_basis_points,BLOCK_STAGE,BLOCK_STAGE,VERIF_NON_REQUIRED_IN_BASIS,,승격 근거에는 필수 확인점만 쓸 수 있습니다 (참고·challenge·범위확인 제외).,,NONE,,A3,SPEC:v6.1§14.25,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
