rule_id,condition_expression,assign,action,rationale,source_citation,verification_status,seed_review_status,notes
G4001,dcs_subclass == 'IIa',sig_particle_size_suitable=True,ALLOW,용출속도 제한이면 표면적 증가(micronization)가 1차 해법,Butler & Dressman 2010; Noyes–Whitney 식,VERIFIED_SECONDARY,pending_team_review,
G4002,dcs_subclass == 'IIb' or bcs_class == 'IV',sig_enabling_required=True,REVIEWER_FLAG,용해도 제한이면 입자 크기 감소만으로 완전 흡수 불가 → Cs(겉보기 용해도)를 올리는 전략 필요,Butler & Dressman 2010,VERIFIED_SECONDARY,pending_team_review,
G4003,dcs_subclass == 'undetermined' or (dcs_solubility == 'unknown' and bcs_solubility_provisional == 'low'),sig_enabling_required=True;sig_particle_size_suitable=True,REVIEWER_FLAG,하위분류 불가 → 두 방향을 모두 후보로 탐색하고 근거 게이트가 보류,팀 설계 결정,PROVISIONAL,pending_team_review,탐색 확장이지 판정이 아님
G4010,"(dcs_subclass in ('IIb','undetermined') or bcs_class == 'IV' or bcs_solubility_provisional == 'low') and tm_c is not None and tm_c > 200",sig_high_tm=True,ALLOW,고융점(결정격자 에너지 큼) 화합물은 지질 용해도가 낮은 경향 → ASD 쪽 우선,Williams et al. 2013 Pharmacol Rev 65:315 (전략 선택 리뷰),PROVISIONAL,pending_team_review,200 °C는 실무 경험칙
G4011,"(dcs_subclass in ('IIb','undetermined') or bcs_class == 'IV' or bcs_solubility_provisional == 'low') and clogp > 4 and molecular_weight < 500 and tm_c is not None and tm_c < 150",sig_lipid_prone=True,ALLOW,저융점·고지용성 → 지질 기반 제형 우선 후보,Pouton 2006 Eur J Pharm Sci 29:278 (LFCS 맥락); 역치는 실무 경험칙,PROVISIONAL,pending_team_review,
G4012,lipid_fill_g is not None and lipid_fill_g <= 1.0,sig_lbf_capacity_ok=True,ALLOW,1회 용량이 약 1 g 이하의 지질 vehicle에 녹으면 캡슐 충전 현실적,실무 경험칙,PROVISIONAL,pending_team_review,
G4013,lipid_fill_g is not None and lipid_fill_g > 1.0,sig_lbf_capacity_ok=False,REVIEWER_FLAG,필요 지질량이 과다,실무 경험칙,PROVISIONAL,pending_team_review,
G4020,tg_margin_k is not None and tg_margin_k >= 50,sig_asd_tg_margin_ok=True,ALLOW,저장온도가 Tg보다 50 K 이상 낮으면 분자 운동성이 실용 기간 동안 무시할 수준,Hancock Shamblin Zografi 1994,VERIFIED_SECONDARY,pending_team_review,원 기준은 Tg_mix
G4021,tg_margin_k is not None and tg_margin_k < 50,sig_asd_tg_margin_ok=False,REVIEWER_FLAG,API 단독 Tg 여유 부족 → 고Tg polymer로 Tg_mix를 올려야 함(배제 아님),Hancock Shamblin Zografi 1994,VERIFIED_SECONDARY,pending_team_review,
G4022,tg_margin_k is not None and tg_margin_k < 0,sig_asd_rubbery_at_storage=True,REVIEWER_FLAG,API Tg가 저장온도보다 낮음 → 순수 무정형 API는 저장 조건에서 고무상,Hancock & Zografi 1997 J Pharm Sci 86:1,VERIFIED_SECONDARY,pending_team_review,ASD 우선순위 대폭 하향(배제는 아님)
G4030,"(dcs_subclass in ('IIb','undetermined') or bcs_class == 'IV') and dose_mg is not None and dose_mg <= 50",sig_cd_dose_feasible=True,ALLOW,CD 포접은 대개 1:1 몰비라 필요 CD 질량이 커서 저용량에서만 현실적,Loftsson & Brewster 2010 J Pharm Pharmacol 62:1607 (개념); 50 mg은 실무 경험칙,PROVISIONAL,pending_team_review,
