rule_id,category,property_name,unit,applicability,rule_type,lower_operator,low_threshold,upper_operator,high_threshold,risk_level,measurement_condition,rule_logic,interpretation,recommended_action,required_companion_data,evidence_basis,source_url,hard_rule,version
RO5_LOGP_01,molecular_descriptors,clogp,dimensionless,oral_small_molecule,numeric_range,,,<=,5,Low,Calculated neutral-species clogP,clogP <= 5,No Ro5 lipophilicity violation; this does not prove adequate solubility or permeability,Assess together with logD pH-solubility dose and permeability,logd_pH6_5;solubility_pH_profile;dose;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
RO5_LOGP_02,molecular_descriptors,clogp,dimensionless,oral_small_molecule,numeric_range,>,5,,,Moderate,Calculated neutral-species clogP,clogP > 5,Ro5 lipophilicity violation and elevated solubility/metabolic-liability alert; not an automatic formulation failure,Measure pH-dependent solubility and permeability before selecting an enabling formulation,logd_pH6_5;solubility_pH_profile;dose;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
RO5_MW_01,molecular_descriptors,molecular_weight,g/mol,oral_small_molecule,numeric_range,,,<=,500,Low,Neutral parent or therapeutically relevant moiety,MW <= 500,No Ro5 molecular-weight violation; this does not prove adequate absorption,Assess with polarity hydrogen bonding flexibility and measured permeability,tpsa;hbd;hba;rotatable_bonds;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
RO5_MW_02,molecular_descriptors,molecular_weight,g/mol,oral_small_molecule,numeric_range,>,500,,,Moderate,Neutral parent or therapeutically relevant moiety,MW > 500,Ro5 molecular-weight violation and permeability alert; exceptions include macrocycles and transporter substrates,Obtain experimental permeability/absorption data; do not automatically prescribe a permeation enhancer,tpsa;hbd;hba;rotatable_bonds;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
RO5_HBD_01,molecular_descriptors,hbond_donors,count,oral_small_molecule,numeric_range,,,<=,5,Low,Standard descriptor calculation,HBD <= 5,No Ro5 hydrogen-bond-donor violation,Assess the complete descriptor set and experimental data,hba;tpsa;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
RO5_HBD_02,molecular_descriptors,hbond_donors,count,oral_small_molecule,numeric_range,>,5,,,Moderate,Standard descriptor calculation,HBD > 5,Ro5 hydrogen-bond-donor violation and passive-permeability alert,Measure permeability and consider structural optimization where applicable,hba;tpsa;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
RO5_HBA_01,molecular_descriptors,hbond_acceptors,count,oral_small_molecule,numeric_range,,,<=,10,Low,Standard descriptor calculation,HBA <= 10,No Ro5 hydrogen-bond-acceptor violation,Assess the complete descriptor set and experimental data,hbd;tpsa;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
RO5_HBA_02,molecular_descriptors,hbond_acceptors,count,oral_small_molecule,numeric_range,>,10,,,Moderate,Standard descriptor calculation,HBA > 10,Ro5 hydrogen-bond-acceptor violation and passive-permeability alert,Measure permeability and consider structural optimization where applicable,hbd;tpsa;permeability,Lipinski Rule of Five,https://pmc.ncbi.nlm.nih.gov/articles/PMC4910824/,false,2.0
VEBER_TPSA_01,molecular_descriptors,tpsa,angstrom^2,oral_small_molecule,numeric_range,,,<=,140,Low,Standard descriptor calculation,TPSA <= 140,Within the commonly used Veber polarity boundary; not proof of oral bioavailability,Assess together with rotatable bonds ionization and permeability,rotatable_bonds;ionization_type;pka;permeability,Veber oral-bioavailability rule,https://pubmed.ncbi.nlm.nih.gov/12036371/,false,2.0
VEBER_TPSA_02,molecular_descriptors,tpsa,angstrom^2,oral_small_molecule,numeric_range,>,140,,,Moderate,Standard descriptor calculation,TPSA > 140,Elevated passive-permeability/oral-bioavailability alert,Obtain permeability and absorption data; consider structural optimization if discovery-stage,rotatable_bonds;ionization_type;pka;permeability,Veber oral-bioavailability rule,https://pubmed.ncbi.nlm.nih.gov/12036371/,false,2.0
VEBER_RB_01,molecular_descriptors,rotatable_bonds,count,oral_small_molecule,numeric_range,,,<=,10,Low,Standard descriptor calculation,Rotatable bonds <= 10,Within the commonly used Veber flexibility boundary,Assess together with TPSA and experimental data,tpsa;permeability,Veber oral-bioavailability rule,https://pubmed.ncbi.nlm.nih.gov/12036371/,false,2.0
VEBER_RB_02,molecular_descriptors,rotatable_bonds,count,oral_small_molecule,numeric_range,>,10,,,Moderate,Standard descriptor calculation,Rotatable bonds > 10,Elevated oral-bioavailability alert,Obtain permeability/absorption data; consider structural optimization if discovery-stage,tpsa;permeability,Veber oral-bioavailability rule,https://pubmed.ncbi.nlm.nih.gov/12036371/,false,2.0
ION_01,ionization,ionization_type,category,all_API,categorical,,,,,Unknown,Determine experimentally or from validated structure assignment,Allowed values: acid;base;ampholyte;neutral,Required to interpret pKa and calculate ionization across GI pH,Do not run pKa risk rules until ionization type is known,pka_values,Acid-base equilibrium requirement,,true,2.0
ION_02,ionization,pka,dimensionless,ionizable_API,formula,,,,,Calculated,25 C unless otherwise justified,"For an acid: fraction ionized=1/(1+10^(pKa-pH)); for a base: fraction ionized=1/(1+10^(pH-pKa))",pKa alone has no universal low/high-risk interval,Calculate fraction ionized at pH 1.2 4.5 and 6.8 and link it to measured solubility,ionization_type;solubility_pH_profile,Henderson-Hasselbalch relationship,,true,2.0
ION_03,ionization,ionization_change_GI,fold,ionizable_or_ampholytic_API,composite,,,,,Moderate,pH 1.2 4.5 and 6.8 using all relevant pKa values,Flag when predicted ionized fraction or measured solubility changes materially across GI pH,Large pH response can produce site-dependent dissolution absorption or precipitation,Run biorelevant pH-shift and precipitation testing; evaluate salt and microenvironmental-pH strategies,ionization_type;pka_values;solubility_pH_profile,Mechanistic formulation alert,,false,2.0
SOL_01,biopharmaceutics,equilibrium_solubility_pH_profile,mg/mL,oral_immediate_release_systemic,required_dataset,,,,,Unknown,37 +/- 1 C; equilibrium method; at least pH 1.2 4.5 6.8; minimum 3 replicates,Use the lowest adequately measured solubility within pH 1.2-6.8,Single water-solubility value is insufficient for BCS classification,Generate equilibrium solubility profile and confirm API stability and final pH,highest_single_therapeutic_dose_mg;solid_form;stability_in_medium,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
SOL_02,biopharmaceutics,dose_solubility_volume,mL,oral_immediate_release_systemic,formula,,,,,Calculated,Use highest single therapeutic dose and minimum equilibrium solubility from pH 1.2-6.8 at 37 +/- 1 C,DSV_mL=highest_single_therapeutic_dose_mg/minimum_solubility_mg_per_mL,BCS high solubility is dose-dependent,Calculate with traceable dose and solubility inputs,highest_single_therapeutic_dose_mg;minimum_GI_solubility_mg_mL,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
SOL_03,biopharmaceutics,dose_solubility_volume,mL,oral_immediate_release_systemic,numeric_range,,,<=,250,Low,ICH M9 conditions,DSV <= 250 mL,Meets the ICH M9 high-solubility boundary if study quality and stability requirements are satisfied,Combine with permeability to assign BCS class,permeability_class;solubility_method_validity;stability_in_medium,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
SOL_04,biopharmaceutics,dose_solubility_volume,mL,oral_immediate_release_systemic,numeric_range,>,250,,,High,ICH M9 conditions,DSV > 250 mL,Low solubility by ICH M9 at the evaluated highest single therapeutic dose,Determine DCS/rDCS limitation and evaluate dissolution or solubility-enabling strategies,permeability;intrinsic_solubility;particle_size;dissolution_rate;precipitation_risk,ICH M9 and DCS,https://www.fda.gov/media/148472/download,true,2.0
SOL_05,biopharmaceutics,intrinsic_solubility,mg/mL,ionizable_API,required_dataset,,,,,Unknown,Unionized species; defined temperature and solid form,Measure or defensibly estimate intrinsic solubility,Separates crystal-lattice effects from pH-ionization effects,Use with pKa melting/fusion data and pH-solubility profile,ionization_type;pka;solid_form;temperature,Preformulation best practice,,false,2.0
PERM_01,biopharmaceutics,absolute_bioavailability,percent,oral_immediate_release_systemic,numeric_range,>=,85,,,Low,Human pharmacokinetic data where applicable,Absolute bioavailability >= 85%,Supports high permeability for ICH M9 classification,Document data quality and combine with BCS solubility,minimum_GI_solubility;dose_solubility_volume,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
PERM_02,biopharmaceutics,fraction_absorbed,percent,oral_immediate_release_systemic,numeric_range,>=,85,,,Low,Human mass-balance evidence meeting ICH M9 conditions,Extent absorbed >= 85%,Supports high permeability when metabolite/recovery conditions are satisfied,Document recovery pathways and GI stability,GI_stability;mass_balance_details,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
PERM_03,biopharmaceutics,permeability_class,category,oral_immediate_release_systemic,composite,,,,,Unknown,Prefer human PK; validated Caco-2 may support classification,Assign high only when ICH M9 evidence criteria are met,Calculated descriptors or logP alone cannot establish BCS permeability,Generate appropriate human or validated in-vitro evidence,absolute_bioavailability;fraction_absorbed;Caco2_Papp;efflux_ratio;GI_stability,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
BCS_01,biopharmaceutics,bcs_class,category,oral_immediate_release_systemic,composite,,,,,Calculated,ICH M9 solubility and permeability evidence,"Class I=high S/high P; II=low S/high P; III=high S/low P; IV=low S/low P",BCS class must not be inferred from water solubility or logP alone,Assign only after SOL and PERM rules pass data-quality checks,dose_solubility_volume;permeability_class,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
DCS_01,developability,dcs_class,category,oral_small_molecule,composite,,,,,Calculated,Use intestinal/biorelevant solubility dose permeability dissolution rate and particle size,"Class I: robust; IIa: dissolution-rate limited; IIb: solubility-limited; III: permeability-limited; IV: combined limitation",DCS is a formulation-development framework rather than a single fixed threshold,Use validated DCS/rDCS implementation and retain calculated intermediate values,dose;intestinal_solubility;permeability;dissolution_rate;particle_size,Butler and Dressman DCS,https://pubmed.ncbi.nlm.nih.gov/20821390/,false,2.0
DCS_02,developability,dcs_IIa_alert,category,oral_small_molecule,composite,,,,,Moderate,DCS assessment identifies dissolution-rate limitation,High permeability plus low apparent solubility with absorbable dose recoverable by improved dissolution,Particle-size reduction and wetting may be useful,Model target particle size and confirm dissolution/absorption; do not automatically require nanocrystals,dose;intestinal_solubility;permeability;particle_size;dissolution_rate,Butler and Dressman DCS,https://pubmed.ncbi.nlm.nih.gov/20821390/,false,2.0
DCS_03,developability,dcs_IIb_alert,category,oral_small_molecule,composite,,,,,High,DCS assessment identifies solubility limitation,High permeability but solubility-limited absorbable dose below target dose,Solubility-enabling formulation may be needed,Assess ASD salt/cocrystal lipid or complexation options using precipitation and stability data,dose;intestinal_solubility;permeability;supersaturation;precipitation,Butler and Dressman DCS,https://pubmed.ncbi.nlm.nih.gov/20821390/,false,2.0
THERM_01,solid_state,melting_point,C,crystalline_small_molecule,numeric_alert,,,<,100,Moderate,DSC with identity/purity and decomposition assessment,Melting point < 100 C,Low-melting processing alert only; not a universal failure threshold,Assess softening sticking eutectic formation and process temperature before choosing manufacturing route,Tg;decomposition_temperature;thermal_history;tabletability,Heuristic preformulation alert,,false,2.0
THERM_02,solid_state,melting_point,C,crystalline_small_molecule,numeric_alert,>=,100,<=,200,Unknown,DSC with identity/purity and decomposition assessment,100 C <= melting point <= 200 C,No universal low-risk claim can be made from this interval alone,Continue full solid-state solubility and mechanical characterization,polymorph;enthalpy_fusion;solubility;tabletability,Heuristic preformulation alert,,false,2.0
THERM_03,solid_state,melting_point,C,crystalline_small_molecule,numeric_alert,>,200,,,Moderate,DSC with identity/purity and decomposition assessment,Melting point > 200 C,Possible high-lattice-energy/low-solubility alert; does not establish poor compactibility or mandate ASD,Confirm intrinsic solubility enthalpy of fusion and crystal form before formulation selection,intrinsic_solubility;enthalpy_fusion;polymorph;decomposition_temperature,Heuristic preformulation alert,,false,2.0
FLOW_CI_01,powder_properties,carr_index,percent,powder_or_granule,numeric_range,,,<=,10,Low,USP bulk and tapped density methods,CI <= 10,Excellent flow ranking,Verify at relevant scale and moisture state,bulk_density;tapped_density;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_CI_02,powder_properties,carr_index,percent,powder_or_granule,numeric_range,>,10,<=,15,Low,USP bulk and tapped density methods,10 < CI <= 15,Good flow ranking,Verify at relevant scale and moisture state,bulk_density;tapped_density;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_CI_03,powder_properties,carr_index,percent,powder_or_granule,numeric_range,>,15,<=,20,Moderate,USP bulk and tapped density methods,15 < CI <= 20,Fair flow ranking,Assess glidant blending and feeding performance before granulation,particle_size;particle_shape;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_CI_04,powder_properties,carr_index,percent,powder_or_granule,numeric_range,>,20,<=,25,Moderate,USP bulk and tapped density methods,20 < CI <= 25,Passable flow ranking,Run process-relevant flow tests and consider flow improvement,particle_size;particle_shape;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_CI_05,powder_properties,carr_index,percent,powder_or_granule,numeric_range,>,25,<=,31,High,USP bulk and tapped density methods,25 < CI <= 31,Poor flow ranking,Evaluate glidant particle engineering or granulation; do not mark granulation as automatically required,particle_size;particle_shape;moisture_content;process_flow_test,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_CI_06,powder_properties,carr_index,percent,powder_or_granule,numeric_range,>,31,<=,37,High,USP bulk and tapped density methods,31 < CI <= 37,Very poor flow ranking,Develop a flow-control strategy and verify hopper/feed performance,particle_size;particle_shape;moisture_content;process_flow_test,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_CI_07,powder_properties,carr_index,percent,powder_or_granule,numeric_range,>,37,,,High,USP bulk and tapped density methods,CI > 37,Very very poor flow ranking,Develop a flow-control strategy and verify hopper/feed performance,particle_size;particle_shape;moisture_content;process_flow_test,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_HR_01,powder_properties,hausner_ratio,dimensionless,powder_or_granule,numeric_range,,,<=,1.11,Low,USP bulk and tapped density methods,HR <= 1.11,Excellent flow ranking,Verify at relevant scale and moisture state,bulk_density;tapped_density;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_HR_02,powder_properties,hausner_ratio,dimensionless,powder_or_granule,numeric_range,>,1.11,<=,1.18,Low,USP bulk and tapped density methods,1.11 < HR <= 1.18,Good flow ranking,Verify at relevant scale and moisture state,bulk_density;tapped_density;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_HR_03,powder_properties,hausner_ratio,dimensionless,powder_or_granule,numeric_range,>,1.18,<=,1.25,Moderate,USP bulk and tapped density methods,1.18 < HR <= 1.25,Fair flow ranking,Assess glidant blending and feeding performance,particle_size;particle_shape;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_HR_04,powder_properties,hausner_ratio,dimensionless,powder_or_granule,numeric_range,>,1.25,<=,1.34,Moderate,USP bulk and tapped density methods,1.25 < HR <= 1.34,Passable flow ranking,Run process-relevant flow tests and consider flow improvement,particle_size;particle_shape;moisture_content,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_HR_05,powder_properties,hausner_ratio,dimensionless,powder_or_granule,numeric_range,>,1.34,<=,1.45,High,USP bulk and tapped density methods,1.34 < HR <= 1.45,Poor flow ranking,Evaluate glidant particle engineering or granulation and verify process performance,particle_size;particle_shape;moisture_content;process_flow_test,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_HR_06,powder_properties,hausner_ratio,dimensionless,powder_or_granule,numeric_range,>,1.45,<=,1.59,High,USP bulk and tapped density methods,1.45 < HR <= 1.59,Very poor flow ranking,Develop a flow-control strategy and verify hopper/feed performance,particle_size;particle_shape;moisture_content;process_flow_test,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
FLOW_HR_07,powder_properties,hausner_ratio,dimensionless,powder_or_granule,numeric_range,>,1.59,,,High,USP bulk and tapped density methods,HR > 1.59,Very very poor flow ranking,Develop a flow-control strategy and verify hopper/feed performance,particle_size;particle_shape;moisture_content;process_flow_test,USP <1174> Powder Flow,https://www.usp.org/sites/default/files/usp/document/harmonization/gen-chapter/20230428HSm99885.pdf,true,2.0
HYG_01,moisture,hygroscopicity,percent_weight_gain,solid_API,numeric_range,,,<=,0.2,Low,25 C and 80% RH; report equilibration/time and initial water content,Weight gain <= 0.2%,Callahan Class I screening category,Standard moisture controls subject to stability and deliquescence data,initial_water;exposure_time;equilibrium_status;solid_form,Callahan hygroscopicity classification,https://doi.org/10.3109/03639048209022105,false,2.0
HYG_02,moisture,hygroscopicity,percent_weight_gain,solid_API,numeric_range,>,0.2,<=,2,Low,25 C and 80% RH; report equilibration/time and initial water content,0.2% < weight gain <= 2%,Callahan Class II screening category,Assess routine packaging using product-level stability data,initial_water;exposure_time;equilibrium_status;solid_form,Callahan hygroscopicity classification,https://doi.org/10.3109/03639048209022105,false,2.0
HYG_03,moisture,hygroscopicity,percent_weight_gain,solid_API,numeric_range,>,2,<=,15,Moderate,25 C and 80% RH; report equilibration/time and initial water content,2% < weight gain <= 15%,Callahan Class III screening category,Run DVS and moisture-stability studies; evaluate controlled humidity and protective packaging,initial_water;DVS_isotherm;deliquescence_RH;solid_form;stability,Callahan hygroscopicity classification,https://doi.org/10.3109/03639048209022105,false,2.0
HYG_04,moisture,hygroscopicity,percent_weight_gain,solid_API,numeric_range,>,15,,,High,25 C and 80% RH; report equilibration/time and initial water content,Weight gain > 15%,Callahan Class IV screening category,Define humidity controls and packaging from DVS/deliquescence and product stability studies,initial_water;DVS_isotherm;deliquescence_RH;solid_form;stability,Callahan hygroscopicity classification,https://doi.org/10.3109/03639048209022105,false,2.0
PSD_01,powder_properties,particle_size_distribution,um,solid_oral_API,required_dataset,,,,,Unknown,Validated method and dispersion state; report D10 D50 D90,Record PSD when it can affect dissolution content uniformity stability appearance or manufacturability,PSD is a potential critical material attribute rather than a universal threshold,Link specification to product performance and process capability,dissolution;dose;content_uniformity;flowability;solid_form,ICH Q6A decision tree 3,https://database.ich.org/sites/default/files/Q6A%20Guideline.pdf,true,2.0
SOLID_01,solid_state,polymorph_and_solid_form,category,solid_API,required_dataset,,,,,Unknown,XRPD plus orthogonal thermal/spectroscopic methods as appropriate,Identify polymorph amorphous hydrate solvate and salt/cocrystal state,Different forms can alter solubility stability flow and bioavailability,Select and control the intended form; assess conversion under processing and storage,XRPD;DSC;TGA;DVS;solubility;stability,ICH Q6A and FDA polymorphism guidance,https://www.fda.gov/media/71375/download,true,2.0
SOLID_02,solid_state,crystal_habit,category,solid_API,qualitative_alert,,,,,Unknown,Microscopy or imaging with representative batches,Assess needle plate block or irregular morphology and agglomeration,Crystal habit can affect flow filtration compaction and dissolution,Link morphology to process and product performance before setting controls,particle_size;flowability;tabletability;dissolution,ICH Q8 risk-based development,https://www.fda.gov/media/71535/download,false,2.0
MECH_01,mechanical_properties,tabletability,MPa_vs_compaction_pressure,direct_compression_candidate,required_dataset,,,,,Unknown,Compaction simulator or instrumented press under relevant conditions,Measure tensile strength as a function of compaction pressure,Carr index and melting point cannot establish compactibility,Assess dilution potential lubricant sensitivity elastic recovery capping and sticking,compactibility;compressibility;elastic_recovery;lubricant_sensitivity,Quality-by-design preformulation practice,https://www.fda.gov/media/71535/download,false,2.0
