rule_id,selection_type,condition_name,condition_expression,recommended_value,alternatives,parameter_category,action,reviewer_summon,rationale,evidence_type,evidence_strength,source_doc,source_version,retrieved_on,verification_status,notes
ANA001,apparatus,solid_oral_IR_default,"dosage_form in ['tablet','capsule'] and release=='IR'",Apparatus 2 (Paddle),Apparatus 1 (Basket),apparatus,REVIEWER_FLAG,,고형 경구제형에는 장치 1·2가 가장 널리 사용됨. 일반 정제는 패들이 기본,regulatory_guideline,strong,USP <1092>,The Dissolution Procedure,2026-07-24,VERIFIED,최종 장치는 monograph 우선. 이 규칙은 monograph 없는 개발 초기용
ANA002,apparatus,capsule_or_floating,dosage_form=='capsule' or floating==True,Apparatus 1 (Basket),Apparatus 2 + sinker,apparatus,REVIEWER_FLAG,,캡슐·부유 제형은 바스켓이 유리. 패들 사용 시 싱커 필요,regulatory_guideline,strong,USP <1092>,The Dissolution Procedure,2026-07-24,VERIFIED,
ANA003,apparatus,bead_type_modified_release,"release in ['MR','ER'] and form=='bead'",Apparatus 3 (Reciprocating Cylinder),Apparatus 4,apparatus,REVIEWER_FLAG,,비드형 방출조절 제형에 왕복실린더가 특히 유용. pH 순차 노출 가능,regulatory_guideline,moderate,USP <1092>,The Dissolution Procedure,2026-07-24,VERIFIED,장치 3은 JP 미채택
ANA004,apparatus,poorly_soluble_or_MR_limited_solubility,"bcs_class in ['II','IV'] or (release=='MR' and low_solubility==True)",Apparatus 4 (Flow-Through Cell),Apparatus 2 + surfactant,apparatus,REVIEWER_FLAG,가용화 전략 심사관,난용성 원료 함유 방출조절 제형에 플로우스루셀이 유리. 개방계로 싱크 조건 유지 용이,regulatory_guideline,moderate,USP <1092>,The Dissolution Procedure,2026-07-24,VERIFIED,장치 4는 JP 미채택. 연질캡슐·좌제·난용성 약물에도 3 또는 4 고려
ANA005,agitation,paddle_default_speed,apparatus=='paddle',50 rpm,75 rpm (필요시),speed,REVIEWER_FLAG,,패들 기본 50 rpm. 콘(cone) 형성 등으로 불충분 시 75 rpm 고려,regulatory_guideline,moderate,USP <1092>,The Dissolution Procedure,2026-07-24,VERIFIED,과도한 속도는 제형 간 차이를 가릴 수 있음(mildest suitable conditions 원칙)
ANA006,agitation,basket_default_speed,apparatus=='basket',100 rpm,50-100 rpm,speed,REVIEWER_FLAG,,바스켓 관행 속도. 50-100 rpm 범위에서 선택,textbook_practice,moderate,USP <1092> / 관행,The Dissolution Procedure,2026-07-24,VERIFIED_SECONDARY,
ANA007,medium,high_solubility_profile,high_solubility==True,0.1 N HCl; pH 4.5; pH 6.8 (각 900 mL),purified water,medium,REVIEWER_FLAG,,고용해 약물은 생리학적 pH 전 구간(0.1N HCl/4.5/6.8)에서 프로파일 작성. 통상 패들 50 rpm,peer_reviewed_practice,strong,USP <1092> / method development literature,The Dissolution Procedure,2026-07-24,VERIFIED_SECONDARY,바이오웨이버 3매질(pH 1.2/4.5/6.8)과 정렬
ANA008,medium,pH_range_general,always,pH 1.1-6.8,pH up to 8.0 if needed for solubility,medium,REVIEWER_FLAG,,일반 용출 매질 pH 범위는 1.1-6.8. 용해도 사유로 높일 수 있으나 통상 8.0 초과 금지,regulatory_guideline,strong,USP <1092>,The Dissolution Procedure,2026-07-24,VERIFIED,"완충액: HCl(1.0-3.0), glycine(2.0-3.0), citrate(2.5-3.5), acetate(4.0-5.5), phosphate(6.0-8.0)"
ANA009,medium,buffer_selection_by_pH,target_pH given,pH별 완충액 매핑,,medium,REVIEWER_FLAG,,목표 pH에 따른 완충액 선택. 명시 범위는 제한이 아니라 관행,peer_reviewed_practice,moderate,USP <1092> / method development literature,The Dissolution Procedure,2026-07-24,VERIFIED_SECONDARY,HCl 1.0-3.0 / glycine 2.0-3.0 / citrate 2.5-3.5 / acetate 4.0-5.5 / phosphate 6.0-8.0
ANA010,sink_condition,sink_condition_definition,always,매질 부피 >= 3 x (최고 용량 용해에 필요한 부피),,sink,REVIEWER_FLAG,,USP 싱크 조건: 최고 용량 단위를 포화 용해시키는 데 필요한 부피의 3배 이상. Dose/Solubility Ratio로 계산,regulatory_guideline,strong,USP <1092>,The Dissolution Procedure,2026-07-24,VERIFIED,Dose/Solubility Ratio = 최고용량(mg)/용해도(mg/mL). bcs_classification_criteria.csv의 250mL 기준과 개념 연결
