rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
FE001,factor_eligibility_rules,1,1,factor,FACTOR_READINESS,not item.controllable and not item.measurable,item,BLOCK_STAGE,BLOCK_STAGE,FACTOR_NOT_CONTROLLABLE,,조절도 측정도 불가능한 항목은 요인이 될 수 없습니다.,,NONE,,,SPEC:v6.1§8.B.10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE002,factor_eligibility_rules,1,2,factor,FACTOR_READINESS,item.disposition == 'DOE_CANDIDATE' and (item.low is None or item.high is None),item,REQUEST_DATA,REQUEST_DATA,RANGE_MISSING,WAITING_FACTOR_DATA,범위가 정해지지 않았습니다. RangeProposer를 실행하세요.,,NONE,,,SPEC:v6.1§6.D4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE003,factor_eligibility_rules,1,1,factor,FACTOR_READINESS,item.prohibited,item,BLOCK_STAGE,BLOCK_STAGE,FACTOR_PROHIBITED,,안전·규제상 금지된 항목입니다.,,NONE,,,SPEC:v6.1§6.D3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE004,factor_eligibility_rules,1,20,factor,FACTOR_READINESS,"redundant_with_any(factor, factors)",factor;factors,NA,WARNING,FACTOR_REDUNDANT,,다른 요인과 중복됩니다.,,REASON_ONLY,researcher,,SPEC:v6.1§8.B.10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE005,factor_eligibility_rules,1,1,factor,FACTOR_READINESS,not equipment_supports(factor),factor,BLOCK_STAGE,BLOCK_STAGE,FACTOR_NOT_EXECUTABLE,,보유 설비로 실행할 수 없는 요인입니다.,,NONE,,,SPEC:v6.1§8.B.10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE006,factor_eligibility_rules,1,30,factor,FACTOR_READINESS,item.severity >= const.fmea_high_severity and item.controllable and item.range_definable,item,NA,PASS,FACTOR_RECOMMEND_DOE,,DoE 요인 후보로 권고합니다.,recommendation 필드 기록 (판정 강도와 별개 축),REASON_ONLY,researcher,,SPEC:v6.1§6.D3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE007,factor_eligibility_rules,1,30,factor,FACTOR_READINESS,item.function_locked,item,NA,PASS,FACTOR_RECOMMEND_FIXED,,기능상 고정 관리가 적절합니다.,recommendation 필드 기록,REASON_ONLY,researcher,,SPEC:v6.1§6.D3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE008,factor_eligibility_rules,1,30,factor,FACTOR_READINESS,item.occurrence == 1 and item.occurrence_evidence is not None and item.severity < const.fmea_high_severity,item,NA,PASS,FACTOR_RECOMMEND_EXCLUDE,,근거로 위험이 낮아 제외를 권고합니다.,고심각도는 대상 아님 (A5),REASON_ONLY,researcher,,SPEC:v6.1§6.D3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE009,factor_eligibility_rules,1,10,factor,FACTOR_READINESS,item.kind == 'CPP' and item.fixed_value_status == 'UNKNOWN',item,NA,WARNING,FACTOR_UNMANAGED,,값이 기록되지 않은 공정변수입니다. scope 제한으로 기록됩니다.,critical이면 critical_unmanaged_count 증가,REASON_ONLY,researcher,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE010,factor_eligibility_rules,1,10,factor,FACTOR_READINESS,item.kind == 'CMA' and item.unit == 'mg_per_unit' and handoff.api_amount_fixed and not handoff.total_weight_fixed,item;handoff,NA,WARNING,FACTOR_TOTAL_WEIGHT_VARIES,,절대량(mg) 변경으로 정제 총중량이 변합니다.,,REASON_ONLY,researcher,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE011,factor_eligibility_rules,1,1,factor,WAITING_FACTOR_APPROVAL,count(f for f in factors if f.disposition == 'DOE_CANDIDATE') > const.screening_max_factors,factors,BLOCK_STAGE,BLOCK_STAGE,FACTOR_COUNT_UNSUPPORTED,,MVP 백엔드가 지원하는 screening 요인 수를 초과했습니다.,A10,NONE,,,SPEC:v6.1§1.2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FE012,factor_eligibility_rules,1,1,factor,WAITING_FMEA_APPROVAL|WAITING_FACTOR_APPROVAL,item.disposition == 'EXCLUDED' and item.severity >= const.fmea_high_severity and (item.alternative_control is None or item.approval_ref is None),item,BLOCK_STAGE,BLOCK_STAGE,HIGH_SEVERITY_EXCLUSION_BLOCKED,,고심각도 항목은 발생도와 무관하게 대체관리·승인 없이 제외할 수 없습니다.,독립 invariant (A5),NONE,,,SPEC:v6.1§6.D3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
