requirement_id,evidence_key,label_kr,timing,applies_when,satisfied_when,why,risk_if_missing,stop_criteria,confirmation_test_id,basis,verification_status,result_key,result_unit
EVR001,aqueous_process_stability,수계 공정 중 API 안정성,before_protocol,"process in ('wet_granulation','fluid_bed_granulation') or strategy == 'WG'",has_measured('aqueous_stability_percent') or prop('moisture_stability_verified'),수계 습식과립은 API를 물과 건조 열에 동시에 노출시킨다. 이 API가 그 조건을 견딘다는 근거가 없다.,가수분해·수화물 전환·함량 저하가 배치 전체에서 한꺼번에 일어난다. 배치를 만든 뒤에는 되돌릴 수 없다.,,T_MEDIUM_STAB,ICH Q1A(R2) 2.1.2 / ICH Q8(R2) 2.2,VERIFIED_SECONDARY,aqueous_stability_percent,%
EVR002,forced_degradation_profile,강제분해 프로파일 (가수분해·산화·열),before_protocol,"(flag('has_ester') or flag('has_lactone') or flag('has_lactam') or flag('has_beta_lactam') or flag('has_carbamate') or flag('has_anhydride') or flag('has_phenol') or flag('has_catechol') or flag('has_thiol') or flag('has_aldehyde')) and (process in ('wet_granulation','fluid_bed_granulation') or strategy == 'WG' or strategy == 'SOLUBILIZATION')",has_measured('forced_degradation_done'),분해 가능 motif가 검출된 API를 물·열·용매가 개입하는 공정에 넣는다. 분해 경로를 모른 채 공정을 확정할 수 없다.,어떤 분해물이 어느 조건에서 생기는지 모르는 상태로 규격과 분석법을 세우게 된다.,,T_FORCED,ICH Q1A(R2) 2.1.2 / ICH Q3B(R2),VERIFIED_SECONDARY,forced_degradation_done,
EVR003,salt_disproportionation,염 형태의 수계 공정 중 전환 위험,before_protocol,"is_salt and (process in ('wet_granulation','fluid_bed_granulation') or strategy == 'WG')",has_measured('salt_form_verified'),염 형태 API에 물과 염기성 부형제가 함께 들어간다. 유리염기로 전환되면 용해도와 용출이 달라진다.,공정 중 염 해리(disproportionation)로 배치마다 용출이 흔들리고 원인 규명이 어려워진다.,,T_SALT,ICH Q6A Decision Tree #4,VERIFIED_SECONDARY,salt_form_verified,
EVR004,experimental_solubility,실험 용해도 (pH 1.2 / 4.5 / 6.8),before_protocol,"strategy == 'SOLUBILIZATION' or bcs_class in ('II','IV') or logs_status in ('high_uncertainty','not_connected')",has_measured('solubility_mg_per_ml'),가용화 여부는 실험 용해도로 갈린다. 지금 값은 예측이거나 모델 간 편차가 커서 전략 판단의 근거가 되지 못한다.,"필요 없는 가용화 공정을 넣거나, 반대로 필요한 가용화를 빠뜨린 채 프로토콜이 확정된다.",,T_BCS_SOL,ICH M9 5.1,VERIFIED_PRIMARY,solubility_mg_per_ml,mg/mL
EVR005,bcs_evidence,BCS 등급 근거 자료,before_protocol,bcs_class is None or bcs_source != 'measured',bcs_source == 'measured',현재 BCS 등급은 예측 기반 사전 분류이거나 미결정이다. 규제 판정을 대체하지 못하며 전략 선택의 근거로는 부족하다.,예측 등급 위에 세운 전략이 실험 등급과 어긋나면 처방 전체를 다시 설계해야 한다.,,T_BCS_EVIDENCE,ICH M9 5 / 기준서 13,VERIFIED_PRIMARY,,
EVR006,solubilization_feasibility,가용화 전략 실현 가능성,before_protocol,strategy == 'SOLUBILIZATION',has_measured('solubilization_feasibility_done'),고체분산체·계면활성제·복합체 중 무엇이 이 API에서 성립하는지에 대한 자료가 없다.,재결정화·상분리로 실패할 전략에 배치와 시간을 쓰게 된다.,,T_ASD,ICH Q8(R2) 2.2,VERIFIED_SECONDARY,solubilization_feasibility_done,
EVR007,excipient_compatibility,부형제 배합적합성 (환원당 × 아민),before_protocol,(flag('has_primary_aliphatic_amine') or flag('has_secondary_aliphatic_amine') or flag('has_aromatic_amine_aniline')) and (ingredient('lactose') or ingredient('maltose') or ingredient('dextrose') or ingredient('glucose') or ingredient('유당')),has_measured('compatibility_study_done'),아민 API와 환원당이 같은 처방에 있다. 룰북이 금기로 잡지 못한 조합이라도 배합적합성 근거는 따로 필요하다.,Maillard 반응으로 갈변·함량 저하가 안정성 시험 중반에야 드러난다.,,T_EXC_REVIEW,ICH Q8(R2) 2.2.2,VERIFIED_SECONDARY,compatibility_study_done,
EVR008,dissolution_method,판별력 있는 용출시험법 확립,parallel,"dosage_form in ('tablet','capsule')",has_measured('dissolution_method_established'),배치 결과를 판정하려면 공정 변화에 반응하는 용출법이 먼저 있어야 한다. 전략 자체를 바꾸지는 않는다.,어떤 배치든 통과하는 용출법으로 판정해 실패를 놓친다.,공정 변수를 바꿔도 용출 profile이 변하지 않으면 매질·장치·회전수를 바꾸고 배치 판정을 보류한다.,T_DISCRIM,USP <1092> / ICH Q8(R2),VERIFIED_SECONDARY,dissolution_method_established,
EVR009,biorelevant_dissolution,생체관련 매질 용출 (FaSSIF/FeSSIF),parallel,"bcs_class in ('II','IV') or strategy == 'SOLUBILIZATION'",has_measured('biorelevant_dissolution_done'),난용성 경로에서는 완충액 용출만으로 체내 거동을 대변하기 어렵다. 세부 조건 최적화에 쓰인다.,완충액에서만 좋은 처방을 최적으로 착각한다.,생체관련 매질에서 용출이 완충액 대비 크게 낮으면 가용화 수준을 재설계한다.,T_BIOREL,ICH M9 부속서 / USP <1092>,VERIFIED_SECONDARY,biorelevant_dissolution_done,
EVR010,sample_solution_stability,시료 용액 안정성,parallel,true,has_measured('sample_solution_stability_done'),배치 결과의 신뢰도는 분석 과정의 안정성에 달려 있다. 전략 판단에는 영향을 주지 않는다.,분석 중 분해를 제품 품질 문제로 오판한다.,보관 조건에서 함량이 규정 이상 변하면 즉시 분석 조건을 고치고 그 사이 데이터는 판정에 쓰지 않는다.,T_SAMPLE_STAB,ICH Q2(R2),VERIFIED_SECONDARY,sample_solution_stability_done,
