config_id,csv_filename,category,judgment_type,engine_module,trigger_condition,trigger_priority,join_key,default_action_column,reviewer_agent,reviewer_id_ref,requires_patient_weight,requires_supplier_spec,blocking,status,notes
CFG001,00_master/excipient_master.csv,master,reference_table,lookup,always,0,excipient_id,,,,no,no,no,PARTIAL,모든 규칙의 루트 참조 테이블. unii/cas/iid 컬럼은 TO_VERIFY 상태이므로 해당 컬럼 기반 판정 금지
CFG002,00_master/rdkit_descriptor_definitions.csv,master,reference_table,calculator,always,0,descriptor_id,,,,no,no,no,ACTIVE,RDKit 계산 descriptor 정의. 결정론적. 파이프라인 최초 단계
CFG027,00_master/structural_flags_smarts.csv,master,deterministic,structure_match,always,0,flag_name,,,,no,no,no,ACTIVE,SMARTS 구조 플래그 단일출처. incompatibility 등이 이 플래그를 참조. SMARTS 미검증(UNTESTED)
CFG028,00_master/physchem_estimation_rules.csv,master,advisory,estimator,always,0,output_flag,,,,no,no,no,ACTIVE,"descriptor->물성 추정. 용해도/투과도는 confidence=low, 실측 우선. BCS 확정 전 단계"
CFG003,01_route_decision/route_decision_tree.csv,route,deterministic,decision_tree,always,1,flow_character_normalized,recommended_routes,,,no,no,no,ACTIVE,설계 계층이 후보 공정을 고를 때 최우선 실행. powder_flow_scale.csv를 참조 테이블로 사용
CFG022,01_route_decision/powder_flow_scale.csv,route,reference_table,lookup,always,1,flow_character_normalized,,,,no,no,no,ACTIVE,USP <1174> Table 1/2 원문. 측정조건(250mL/100g) 불일치 시 ESCALATE_TO_HUMAN 필수
CFG004,02_incompatibility/incompatibility_1to1.csv,chemical,deterministic,structure_match,always,2,incompat_trigger,action,,,no,no,yes,ACTIVE,API 작용기 x 부형제 1:1 매칭. RDKit SMARTS로 작용기 검출 후 조인
CFG005,02_incompatibility/incompatibility_multicomponent.csv,chemical,deterministic,combination_match,component_count>=3,3,component_set,action,,,no,no,yes,ACTIVE,다성분(3+) 상호작용. amine염+환원당+알칼리활택제 등. MC001/002 Hard Fail
CFG006,03_process/direct_compression_rules.csv,process,hybrid,numeric_compare,selected_route=='DC',4,parameter,action,,,no,no,partial,ACTIVE,"유동성은 설계단계 예측 가능, 압축성(tensile strength 등)은 타정 실험 필요. requires_experiment 컬럼 참조"
CFG007,03_process/dry_granulation_rules.csv,process,hybrid,numeric_compare,selected_route=='DG',4,parameter,action,,,no,no,partial,ACTIVE,건식과립(롤러컴팩션). 수분/열민감 API 적응. 리본SF 등 실험 필요
CFG008,03_process/wet_granulation_aqueous_rules.csv,process,hybrid,numeric_compare,selected_route=='WG_aqueous',4,parameter,action,,,no,no,partial,ACTIVE,수계 습식과립. 결합액량 고유 엔드포인트 없음. 수분/열민감 배제
CFG009,03_process/wet_granulation_nonaqueous_rules.csv,process,hybrid,numeric_compare,selected_route=='WG_nonaqueous',4,parameter,action,,,no,no,partial,ACTIVE,비수계 습식과립. 잔류용매 관리 필수. WGN003 Hard Fail
CFG010,03_process/coating_rules.csv,process,hybrid,numeric_compare,coating_required==True,5,coating_type,action,가용화 전략 심사관,REV002,no,no,partial,ACTIVE,코팅. 장용성 필요는 위산안정성 맥락. CT006 내산성 Hard Fail
CFG011,03_process/capsule_filling_rules.csv,process,hybrid,numeric_compare,dosage_form=='capsule',4,parameter,action,,,no,no,partial,ACTIVE,캡슐충전. 젤라틴 쉘 가교 주의. CAP005 중량균일성 Hard Fail
CFG012,03_process/excipient_functional_ratio_rules.csv,process,deterministic,numeric_compare,always,4,functional_category,action,,,no,no,no,ACTIVE,부형제 기능군별 배합비 범위. 전형값이라 range 벗어나면 REVIEWER_FLAG
