rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
RD001,development_readiness_rules,1,1,handoff,ENTRY_READINESS,abs(sum(i.pct_w_w for i in handoff.ingredients) - 100) > const.composition_sum_tolerance_pct,handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,조성 합계가 100%가 아닙니다.,,NONE,,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD002,development_readiness_rules,1,1,handoff,ENTRY_READINESS,any(i.unit is None for i in handoff.ingredients),handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,단위가 없는 성분이 있습니다.,,NONE,,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD003,development_readiness_rules,1,2,handoff,ENTRY_READINESS,any(i.grade is None and i.is_critical for i in handoff.ingredients),handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,중요 원료의 등급이 정해지지 않았습니다.,,ALTERNATIVE_EVIDENCE,researcher,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD004,development_readiness_rules,1,1,handoff,ENTRY_READINESS,len(handoff.process_steps) == 0,handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,구조화된 공정 단계가 없습니다.,,NONE,,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD005,development_readiness_rules,1,1,handoff,ENTRY_READINESS,handoff.equipment_id is None,handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,설비가 지정되지 않았습니다.,,NONE,,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD006,development_readiness_rules,1,1,handoff,ENTRY_READINESS,handoff.batch_scale is None,handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,배치 규모가 없습니다.,,ALTERNATIVE_EVIDENCE,researcher,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD007,development_readiness_rules,1,5,handoff,ENTRY_READINESS,any(p.value is None and p.status != 'UNKNOWN' for p in handoff.fixed_parameters),handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,고정 공정변수 값을 입력하거나 UNKNOWN으로 기록하세요.,UNKNOWN 선택 시 scope 제한 기록,ALTERNATIVE_EVIDENCE,researcher,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD008,development_readiness_rules,1,2,handoff,ENTRY_READINESS,any(c.requirement == 'MANDATORY' and not c.has_registered_method for c in cqa_candidates),cqa_candidates,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,필수 CQA의 시험법이 등록되어 있지 않습니다.,,NONE,,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD009,development_readiness_rules,1,1,handoff,ENTRY_READINESS,any(v.status == 'hard_fail' and not v.resolved for v in handoff.rule_verdicts),handoff,BLOCK_STAGE,BLOCK_STAGE,UNRESOLVED_HARD_FAIL,INELIGIBLE,상류 Hard Fail이 해소되지 않았습니다.,,NONE,,,SPEC:v6.1§6.D1,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
RD010,development_readiness_rules,1,1,handoff,ENTRY_READINESS,handoff.qtpp_snapshot_id is None,handoff,REQUEST_DATA,REQUEST_DATA,MISSING_INPUT,WAITING_REQUIRED_DATA,QTPP 스냅샷이 없습니다.,,NONE,,,SPEC:v6.1§6.D0,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
