rule_id,condition_name,condition_expression,flow_character_in,moisture_sensitive,heat_sensitive,solvent_sensitive,drug_loading_pct_min,drug_loading_pct_max,api_compressibility,recommended_routes,excluded_routes,route_priority,rationale,remediation_option,action,evidence_type,evidence_strength,source_citation,retrieved_on,verification_status,notes
RTE001,flow_excellent_to_good,"flow_character in ['Excellent','Good']",Excellent;Good,any,any,any,,,adequate,DC;DG;WG,,1,직접타정은 유동성과 압축성이 양호한 원료에 적합. 공정 단계가 가장 적어 비용·시간 유리,,ALLOW,peer_reviewed_review,moderate,"Sigma-Aldrich Technical Article, Tablet Manufacturing Technologies for Solid Drug Formulation; PharmTech, Direct Compression Versus Granulation",2026-07-24,VERIFIED_SECONDARY,USP <1174>는 유동성 등급만 정의하고 공정 선택 기준은 제시하지 않음. 등급-공정 매핑은 제제학 문헌 기반
RTE002,flow_fair_to_passable,"flow_character in ['Fair','Passable']",Fair;Passable,any,any,any,,,adequate,DG;WG;DC,,2,유동성이 중간 수준이면 활택보조제 추가 또는 과립화로 개선 필요. DC는 조건부 시도,colloidal silicon dioxide 등 활택보조제 추가 후 재평가,REVIEWER_FLAG,peer_reviewed_review,moderate,동상,2026-07-24,VERIFIED_SECONDARY,
RTE003,flow_poor_or_worse,"flow_character in ['Poor','Very poor','Very, very poor']","Poor;Very poor;Very, very poor",any,any,any,,,any,WG;DG,DC,3,유동성 불량 원료는 직접타정 시 다이 충전 편차로 함량균일성·중량편차 문제 발생. 과립화로 유동성 개선 필요,습식 또는 건식 과립화,EXCLUDE_ROUTE,peer_reviewed_review,moderate,동상,2026-07-24,VERIFIED_SECONDARY,
RTE004,moisture_sensitive_api,moisture_sensitive == True,any,yes,any,any,,,any,DC;DG,WG_aqueous,1,수분에 불안정한 API는 수계 습식과립 부적합. 건식과립은 액체·결합제가 필요 없어 화학적 조성 변화가 없고 수분 민감 원료에 적합,비수계 습식과립(에탄올 등) 검토 - ICH Q3C 잔류용매 기준 적용 필요,EXCLUDE_ROUTE,peer_reviewed_review,strong,"Sigma-Aldrich Technical Article, Tablet Manufacturing Technologies for Solid Drug Formulation",2026-07-24,VERIFIED_SECONDARY,
RTE005,heat_sensitive_api,heat_sensitive == True,any,any,yes,any,,,any,DC;DG,WG_aqueous,1,습식과립은 건조 공정에서 열 노출이 발생하므로 열 불안정 API에 부적합. 건식과립은 고온 노출이 없음,건식과립(롤러컴팩션) 또는 직접타정,EXCLUDE_ROUTE,peer_reviewed_review,strong,동상,2026-07-24,VERIFIED_SECONDARY,
RTE006,solvent_sensitive_api,solvent_sensitive == True,any,any,any,yes,,,any,DC;DG,WG_nonaqueous,1,유기용매에 불안정한 API는 비수계 습식과립 부적합,건식과립 또는 직접타정,EXCLUDE_ROUTE,inferred_from_class,weak,제제학 일반 원칙 - 개별 출처 미확보,2026-07-24,UNVERIFIED,출처 미확보. 논리적으로 자명하나 문헌 근거 필요
RTE007,high_drug_loading,drug_loading_pct > 50,any,any,any,any,50,100,poor,WG;DG,,2,"고용량 API에서는 부형제로 물성을 보완할 여지가 작아, API 자체의 압축성이 나쁘면 직접타정 곤란",과립화로 압축성 개선,REVIEWER_FLAG,peer_reviewed_review,moderate,"PharmTech, Direct Compression Versus Granulation",2026-07-24,VERIFIED_SECONDARY,
RTE008,low_drug_loading_content_uniformity,drug_loading_pct < 5,any,any,any,any,0,5,any,WG;DG;DC,,2,저용량 API는 함량균일성 확보가 관건. 습식과립은 소수성 원료의 습윤성 개선과 함량균일성 향상에 유리,"습식과립 우선 검토, DC 선택 시 혼합 균일성 검증 강화",REVIEWER_FLAG,peer_reviewed_review,moderate,동상,2026-07-24,VERIFIED_SECONDARY,주의: 저용량 + 환원당 부형제 조합은 Maillard 반응이 상대적으로 빠르게 진행되므로 incompatibility_1to1.csv와 교차 확인 필요
RTE009,poor_compressibility,api_compressibility == 'poor',any,any,any,any,,,poor,WG;DG,DC,2,압축성이 불량한 원료는 직접타정 시 캡핑·라미네이션 등 타정 장애 발생 가능,습식과립으로 결합제 도입하여 압축성 개선,EXCLUDE_ROUTE,peer_reviewed_review,moderate,"PharmTech, Direct Compression Versus Granulation",2026-07-24,VERIFIED_SECONDARY,
RTE010,no_viable_route,len(recommended_routes) == 0,any,any,any,any,,,any,,,99,"모든 공정이 배제된 경우 — 고형 경구제형으로 제조 불가능하거나 원료 전처리(입자 설계, 공융, 염 변경 등)가 선행되어야 함","API 물성 개선(결정형 변경, 입자크기 조절, 공결정 등) 또는 제형 변경(액상, 캡슐)",ESCALATE_TO_HUMAN,system_logic,n/a,시스템 설계 규칙,2026-07-24,VERIFIED,이 규칙이 발동하면 반성 에이전트가 아니라 사람에게 직접 에스컬레이션해야 함. 무한 루프 방지
