rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
CR001,cqa_response_definition_rules,1,1,cqa,WAITING_CQA_APPROVAL,"cqa.analysis_role in ('DOE_RESPONSE','MONITOR_ONLY') and cqa.acceptance_operator is None",cqa,BLOCK_STAGE,BLOCK_STAGE,CQA_NO_ACCEPTANCE_OPERATOR,,"판정 방식(acceptance_operator: LE, GE, BETWEEN, TARGET_TOL)이 필요합니다.",MONITOR_ONLY도 배치별 판정 기준 필요,NONE,,A8: target만으로는 판정 불가,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR002,cqa_response_definition_rules,1,1,cqa,WAITING_CQA_APPROVAL,(cqa.acceptance_operator == 'LE' and cqa.upper is None) or (cqa.acceptance_operator == 'GE' and cqa.lower is None) or (cqa.acceptance_operator == 'BETWEEN' and (cqa.lower is None or cqa.upper is None)) or (cqa.acceptance_operator == 'TARGET_TOL' and (cqa.target is None or cqa.target_tolerance is None)),cqa,BLOCK_STAGE,BLOCK_STAGE,CQA_BOUNDS_INCOMPLETE,,판정 방식에 필요한 한계값이 없습니다.,,NONE,,,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR003,cqa_response_definition_rules,1,1,cqa,WAITING_CQA_APPROVAL,cqa.lower is not None and cqa.upper is not None and cqa.lower > cqa.upper,cqa,BLOCK_STAGE,BLOCK_STAGE,CQA_BOUNDS_INVERTED,,하한이 상한보다 큽니다.,NaN/Inf는 입력 단계에서 거부,NONE,,,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR004,cqa_response_definition_rules,1,1,cqa,WAITING_CQA_APPROVAL,cqa.analysis_role == 'DOE_RESPONSE' and cqa.criterion_type == 'RELATIVE_ONLY',cqa,BLOCK_STAGE,BLOCK_STAGE,CQA_RELATIVE_CRITERION_ONLY,,상대 기준(예: 최선 대비 f2)은 보조 지표로만 쓸 수 있습니다.,,NONE,,TCB 케이스,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR005,cqa_response_definition_rules,1,1,cqa,WAITING_CQA_APPROVAL,cqa.analysis_role == 'DOE_RESPONSE' and (cqa.test_method_id is None or cqa.unit is None),cqa,BLOCK_STAGE,BLOCK_STAGE,CQA_NO_METHOD,,시험법과 단위가 없는 CQA는 DoE 반응이 될 수 없습니다.,,NONE,,,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR006,cqa_response_definition_rules,1,1,cqa,WAITING_CQA_APPROVAL,"cqa.template_id == 'CQA_DISSOLUTION' and cqa.analysis_role == 'DOE_RESPONSE' and cqa.summary_definition in (None,'PER_TIMEPOINT')",cqa,BLOCK_STAGE,BLOCK_STAGE,DISSOLUTION_SUMMARY_UNDEFINED,,"용출은 단일 요약값(특정 시점 %, DE, profile model 중 하나)을 정해야 합니다.",,NONE,,,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR007,cqa_response_definition_rules,1,20,cqa,WAITING_CQA_APPROVAL,cqa.analysis_role == 'DOE_RESPONSE' and cqa.practical_effect_threshold is None,cqa,NA,WARNING,CQA_NO_PRACTICAL_THRESHOLD,,실질 효과 기준(delta)이 없으면 screening 판정이 INCONCLUSIVE가 됩니다.,,REASON_ONLY,researcher,,SPEC:v6.1§6.D7,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR008,cqa_response_definition_rules,1,20,cqa,WAITING_CQA_APPROVAL,cqa.analysis_role == 'DOE_RESPONSE' and cqa.replicate_policy is None,cqa,REQUEST_DATA,REQUEST_DATA,CQA_NO_REPLICATE_POLICY,,검체수와 요약 방법을 정하세요.,,ALTERNATIVE_EVIDENCE,researcher,,SPEC:v6.1§8.B.7,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR009,cqa_response_definition_rules,1,50,cqa,MODEL_VALIDATION,cqa.analysis_role == 'DOE_RESPONSE' and cqa.acceptance_operator == 'LE' and cqa.max_observed <= const.non_binding_ratio * cqa.upper,cqa,NA,WARNING,CQA_NON_BINDING,,모든 결과가 규격에서 멀리 떨어져 영역 경계에 관여하지 않습니다.,binding_status=NON_BINDING (역할 유지),REASON_ONLY,researcher,,SPEC:v6.1§3.2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
CR010,cqa_response_definition_rules,1,20,cqa,WAITING_CQA_APPROVAL,cqa.criterion_source == 'PROJECT_TARGET' and cqa.rationale_refs is None,cqa,NA,WARNING,CQA_TARGET_UNJUSTIFIED,,프로젝트 목표값의 근거를 기록하세요.,,REASON_ONLY,researcher,,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
