failure_mode,condition_text,risk_level,guideline,eval_type,param,operator,threshold,unit
Sticking (부착 현상),융점이 낮거나 흡습성이 높은 약물이며 활택제(Magnesium Stearate) 비율이 0.5% 미만인 경우,High,활택제를 0.8-1.0%로 증량하고 과립 건조를 추가하며 압축 속도를 조정,quantitative,lubricant_percent,<,0.5,percent
Picking (펀치 부착),점성이 높은 결합제(PVP) 과량 사용 또는 수분 함량이 3% 이상인 경우,High,건조 조건을 최적화하고 결합제 농도를 감소시키며 펀치 코팅 적용,quantitative,moisture,>=,3,percent
Capping (캡핑),직접타정 시 분말 유동성 불량(Hausner ratio >1.25) 또는 과도한 압축 속도,High,"결합제 추가, 과립화 공정 적용, 압축 속도 감소",quantitative,hausner_ratio,>,1.25,ratio
Poor Flowability (유동성 불량),Carr Index >25 또는 미세분(<100 μm) 비율이 높은 경우,High,Glidant(Colloidal Silicon Dioxide) 0.2-0.5% 추가 및 과립화 적용,quantitative,carr_index,>,25,index
Over Lubrication (과활택),Magnesium Stearate >2% 또는 혼합 시간이 과도한 경우,Medium,활택제 농도 및 혼합 시간을 감소,quantitative,lubricant_percent,>,2,percent
Slow Disintegration (붕해 지연),붕해제(Croscarmellose Sodium) 부족(<2%) 또는 결합제 과량,Medium,붕해제를 2-5% 범위로 조정하고 결합제 감소,quantitative,disintegrant_percent,<,2,percent
Moisture Uptake (흡습),흡습성 API 또는 Hygroscopic excipient 사용 및 RH >= 60%,High,저흡습성 부형제로 변경하고 Alu-Alu blister 및 방습제 적용,qualitative,,,,
Lamination (층분리),탄성 회복이 큰 분말 또는 과도한 압축력 사용,Medium,예압(pre-compression) 적용 및 압축력 최적화,qualitative,,,,
Content Uniformity Failure (함량균일성 실패),저용량(API <2%) 제형에서 혼합 균일성 부족,High,기하희석법 적용 및 혼합 시간 검증,qualitative,,,,
Slow Dissolution (용출 지연),BCS Class II/IV 약물이며 용해도 개선 전략 미적용,High,"고체분산체, SLS, Cyclodextrin 또는 지질기반제형 검토",qualitative,,,,
Polymorphic Transition (결정형 전이),고습·고온 조건(40°C/75% RH)에서 불안정한 결정형,High,안정 결정형 선택 및 XRD/DSC 기반 안정성 확인,qualitative,,,,
Segregation (분리 현상),API와 부형제의 입자 크기 및 밀도 차이가 큰 경우,High,입도 조절 및 과립화 공정 적용,qualitative,,,,
Color Change During Stability (변색),산화 또는 광분해에 민감한 API,Medium,항산화제 추가 및 차광 포장 적용,qualitative,,,,
