rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
FR001,factor_range_constraint_rules,1,30,factor,FACTOR_READINESS,factor.center.value is None,factor,NA,PASS,RANGE_CENTER_DEFAULT,,center는 Handoff의 현재값으로 설정합니다.,,REASON_ONLY,researcher,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR002,factor_range_constraint_rules,1,2,factor,FACTOR_READINESS,factor.low.source_ref is None or factor.high.source_ref is None,factor,REQUEST_DATA,REQUEST_DATA,RANGE_MISSING,WAITING_FACTOR_DATA,경계값의 출처가 없습니다.,,ALTERNATIVE_EVIDENCE,researcher,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR003,factor_range_constraint_rules,1,10,factor,FACTOR_READINESS,excipient_range_exists(factor) and (factor.high.value > master.typical_max_pct or factor.low.value < master.typical_min_pct),factor;master,NA,WARNING,RANGE_OUTSIDE_TYPICAL,,통상 사용범위(TYPICAL_USE)를 벗어납니다. 한계가 아닌 참고 범위이므로 연구 목적을 기록하세요.,TYPICAL_USE는 교집합에 쓰지 않음,REASON_ONLY,researcher,예: crospovidone 10%,SRC_HPE;SPEC:v6.1§3.4,SCIENTIFIC,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR004,factor_range_constraint_rules,1,10,factor,FACTOR_READINESS,iid_reference_exists(factor) and factor.high.amount_per_unit_mg > iid.max_potency_mg,factor;iid,NA,WARNING,RANGE_ABOVE_HISTORICAL_EXPOSURE,,FDA IID의 동일 경로·제형 승인제품 최대 사용량 이력을 초과합니다 (안전 한계 아님).,외부 의존성 (manifest external_dependencies),REASON_ONLY,researcher,maximum potency ≠ maximum daily exposure,SRC_FDA_IID,COMPENDIAL,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR005,factor_range_constraint_rules,1,1,factor,FACTOR_READINESS,factor.unit == 'pct_w_w' and (factor.low.value < 0 or factor.high.value > 100),factor,BLOCK_STAGE,BLOCK_STAGE,RANGE_PHYSICALLY_IMPOSSIBLE,,물리적으로 불가능한 범위입니다.,,NONE,,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR006,factor_range_constraint_rules,1,1,design,SCREENING_PLANNING|RSM_PLANNING,any(dp.balance_component_value < 0 for dp in plan.design_points),plan,BLOCK_STAGE,BLOCK_STAGE,UNSAFE_OR_INFEASIBLE_POINT,DESIGN_REPLAN,어느 설계점에서 balance 성분이 음수가 됩니다.,축점 포함 전체,NONE,,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR007,factor_range_constraint_rules,1,20,factor,FACTOR_READINESS,composition_group.balance_component is not None,composition_group,NA,WARNING,RANGE_DILUTION_CONFOUNDED,,balance 구조가 있어 요인 효과와 희석 효과가 섞입니다.,,REASON_ONLY,researcher,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR008,factor_range_constraint_rules,1,20,factor,FACTOR_READINESS,abs(factor.expected_range_contrast) < const.range_width_multiplier * method.repeatability_sd,factor;method,RECORD_NOT_CHECKED,WARNING,RANGE_TOO_NARROW,,범위 내 예상 효과가 시험 반복오차에 비해 작습니다.,"expected_range_contrast = 범위 양끝 예측 반응 차(선형: |기울기|×폭, 곡면: 범위 내 최대 차). 값 또는 METHOD_REPEATABILITY SD가 없으면 NOT_CHECKED",REASON_ONLY,researcher,A7,SPEC:v6.1§3.4,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR009,factor_range_constraint_rules,1,10,factor,FACTOR_READINESS,factor.manufacturability_evidence is None and factor.at_extreme_of_master_range,factor,NA,ROUTE,BOUNDS_UNCERTAIN,RANGE_FINDING_RUNS,끝점 제조 가능성 근거가 없습니다. 범위 확인 run을 제안합니다.,"극단 조합 2-4개, fitting 제외",REASON_ONLY,researcher,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR010,factor_range_constraint_rules,1,1,factor,FACTOR_READINESS,intersection_empty(factor),factor,BLOCK_STAGE,BLOCK_STAGE,EMPTY_FACTOR_INTERSECTION,STRATEGY_REVIEW,실행 가능 범위(PHYSICAL ∩ EQUIPMENT ∩ STUDY_PURPOSE)의 교집합이 비어 있습니다.,TYPICAL_USE는 교집합에 넣지 않음,NONE,,,SPEC:v6.1§6.D4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
FR011,factor_range_constraint_rules,1,20,factor,FACTOR_READINESS,factor.kind == 'CATEGORICAL' and any(not protocol_available(lv) for lv in factor.levels),factor,REQUEST_DATA,REQUEST_DATA,CATEGORY_PROTOCOL_MISSING,WAITING_FACTOR_DATA,범주 수준별 실행 방법이 없습니다.,,NONE,,,SPEC:v6.1§8.B.11,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
