transition_id,trigger_type,match_expression,return_phase,constraint_patch,directive_hint,priority,source_citation,verification_status,seed_review_status,notes
BT001,rule_verdict,rulebook_id == 'incompatibility_1to1' and status == 'hard_fail',GATE,exclude_ingredient={evidence.excipient},규칙표가 제시한 대체 부형제로 교체,10,§11 표(첨가제 상호작용 → Phase 5),VERIFIED_SECONDARY,pending_team_review,같은 전략 유지. 레시피만 재생성
BT002,rule_verdict,"rulebook_id in ('pediatric_safety_mg','pediatric_safety_g','coloring_flavoring_pediatric') and status == 'hard_fail'",GATE,exclude_ingredient={evidence.excipient},소아 상한 초과 성분을 제거하거나 허용 대체물로 교체,10,기존 pediatric_safety_rules 출처,VERIFIED_SECONDARY,pending_team_review,
BT003,rule_verdict,rulebook_id == 'incompatibility_multi' and status == 'hard_fail',GATE,exclude_ingredient_set={evidence.component_set},금지 조합 중 하나를 제거,10,기존 incompatibility_multicomponent 출처,VERIFIED_SECONDARY,pending_team_review,
BT004,rule_verdict,"rulebook_id in ('direct_compression','dry_granulation','wet_granulation_aqueous','wet_granulation_nonaqueous','capsule_filling') and status == 'hard_fail'",G6R,exclude_strategy={recipe.strategy},공정 규칙 미충족 — 다음 공정 경로로,20,§9·§11(압축성 불량 → Phase 6),VERIFIED_SECONDARY,pending_team_review,
BT005,rule_verdict,status == 'exclude_route',G6R,exclude_route={evidence.route},해당 공정 경로 제외,20,route_decision_tree 출처,VERIFIED_SECONDARY,pending_team_review,
BT006,rule_verdict,rulebook_id == 'excipient_functional_ratio' and status == 'hard_fail',GATE,,배합비를 규칙 범위 안으로 조정(성분 유지),5,excipient_functional_ratio 출처,VERIFIED_SECONDARY,pending_team_review,카운터는 G5에 누적
BT008,rule_verdict,rulebook_id == 'bcs_strategy' and status == 'hard_fail',G4,require_family=ENABLING,실측 BCS II/IV인데 가용화 요소 없음 — enabling 전략으로,30,ICH M9; bcs_strategy_rules 출처,VERIFIED_SECONDARY,pending_team_review,
BT020,measurement_result,measurement_id == 'M_EQSOL' and result.solubility_residue_form_confirmed == False,G3B,solid_form_override=recheck,용해도 측정 중 다른 결정형으로 전환됨 — 고체상 재판정 필요,25,Bauer et al. 2001,VERIFIED_SECONDARY,pending_team_review,
BT021,measurement_result,measurement_id == 'M_ASD_FEAS' and result.asd_miscible == False,G4,exclude_strategy={recipe.strategy},ASD 실현성 부적합(비혼화) — 전략 재선택,30,§11(ASD 결정화 → Phase 4),VERIFIED_SECONDARY,pending_team_review,
BT022,measurement_result,measurement_id == 'M_SEDDS_FEAS' and result.sedds_feasibility_done == False,G4,exclude_strategy=LBF_SEDDS,SEDDS 실현성 부적합(소화 중 침전) — 전략 재선택,30,§7 분기 1,VERIFIED_SECONDARY,pending_team_review,
BT023,measurement_result,measurement_id == 'M_CD_FEAS' and result.cd_feasibility_done == False,G4,exclude_strategy=CD,CD 실현성 부적합(K1:1 부적절) — 전략 재선택,30,§7 분기 3,VERIFIED_SECONDARY,pending_team_review,
BT024,measurement_result,measurement_id == 'M_SALT_SCREEN' and result.salt_screen_done == False,G3B,solid_form_override=avoid_salt,염 형태 부적합(흡습·불균등화) — 다른 짝이온 또는 free form,35,§11(염 흡습·불균등화 → Gate 3B),VERIFIED_SECONDARY,pending_team_review,
BT025,measurement_result,measurement_id == 'M_PSD' and result.psd_dissolution_done == False,G4,exclude_strategy=MICRO,입도 감소로 용출 목표 미달 — 용해도 제한 가능성 → enabling으로,30,Butler & Dressman 2010,VERIFIED_SECONDARY,pending_team_review,
BT026,measurement_result,measurement_id == 'M_GFA' and result.gfa_class == 'I',G4,exclude_strategy={recipe.strategy};penalize_family=ENABLING_ASD,"Class I(급속 재결정) — ASD 우선순위 대폭 하향, 대체 전략 검토",28,Baird Van Eerdenbrugh Taylor 2010,VERIFIED_SECONDARY,pending_team_review,완전 배제 대신 감점 — Tg_mix로 개선 여지 있음
