quantity_id,stage,provides,expression,requires,unit,precedence,source_citation,verification_status,seed_review_status,notes
DQC001,constant,storage_temp_c,25,,°C,1,ICH Q1A(R2) long-term 25 °C/60 %RH (climatic zone II),VERIFIED_PRIMARY,pending_team_review,zone IVb 시장이면 30으로 교체. 입력 storage_temp_c가 있으면 그 값이 우선
DQC002,constant,bcs_volume_ml,250,,mL,1,ICH M9 (2019) high solubility 정의,VERIFIED_PRIMARY,pending_team_review,
DQC003,constant,dcs_volume_ml,500,,mL,1,Butler & Dressman 2010 J Pharm Sci 99:4940,VERIFIED_SECONDARY,pending_team_review,
DQC004,constant,peff_reference_cm_s,0.0001,,cm/s,1,Butler & Dressman 2010 (Peff > 1e-4 cm/s이면 유효 부피가 비례 증가한다고 가정),VERIFIED_SECONDARY,pending_team_review,
DQC005,constant,pf_max_plausible,10,,-,1,팀 내부 잠정값,PROVISIONAL,pending_team_review,"자리표시값. 인체 공장 Peff 문헌 분포(예: Lennernäs 2007 Xenobiotica 리뷰)로 팀이 보정해야 함. 이 값만으로 HARD_FAIL 불가"
DQ001,derive,dose_solubility_volume,dose_mg / solubility_mg_per_ml,dose_mg;solubility_mg_per_ml,mL,2,ICH M9 (2019),VERIFIED_PRIMARY,pending_team_review,"solubility_mg_per_ml = pH 1.2–6.8, 37 °C 중 최저값. 사용자가 dose_solubility_volume을 직접 넣었으면 그 값이 우선(precedence 1)"
DQ002,derive,d0,dose_solubility_volume / bcs_volume_ml,dose_solubility_volume,-,3,Amidon et al. 1995 Pharm Res 12:413,VERIFIED_SECONDARY,pending_team_review,D0 ≤ 1 ⇔ dose_solubility_volume ≤ 250 mL (표시용)
DQ003,derive,dose_solubility_volume_fassif,dose_mg / solubility_fassif_mg_per_ml,dose_mg;solubility_fassif_mg_per_ml,mL,2,Butler & Dressman 2010,VERIFIED_SECONDARY,pending_team_review,
DQ004,derive,permeability_factor,"fmax(1.0, peff_human_cm_s / peff_reference_cm_s)",peff_human_cm_s,-,2,Butler & Dressman 2010,VERIFIED_SECONDARY,pending_team_review,"Caco-2 Papp→인체 Peff 환산값이면 예측값 지위(provenance=predicted)"
DQ005,derive,slad_mg,solubility_fassif_mg_per_ml * dcs_volume_ml * permeability_factor,solubility_fassif_mg_per_ml;permeability_factor,mg,3,Butler & Dressman 2010,VERIFIED_SECONDARY,pending_team_review,"PF를 모르면 계산하지 않는다. PF=1로 채우면 IIa가 수학적으로 불가능해진다(가이드 §5.2 함정)"
DQ006,derive,pf_required_for_iia,dose_mg / (solubility_fassif_mg_per_ml * dcs_volume_ml),dose_mg;solubility_fassif_mg_per_ml,-,3,Butler & Dressman 2010 식의 역산,VERIFIED_SECONDARY,pending_team_review,IIa가 되려면 필요한 최소 PF
