rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
DR001,design_space_rules,1,1,region,REGION_COMPUTATION,"any(m.validation_status not in ('VALID','ACCEPTED_WITH_FLAGS') for m in models)",models,BLOCK_STAGE,BLOCK_STAGE,REGION_INVALID_MODEL_INPUT,,검증되지 않은 모델은 영역 입력이 될 수 없습니다.,"enum: VALID, FLAGGED, ACCEPTED_WITH_FLAGS, HOLD, REJECTED",NONE,,,SPEC:v6.1§14.12,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR002,design_space_rules,1,1,region,REGION_COMPUTATION,any(c.acceptance_operator is None for c in cqas if c.analysis_role == 'DOE_RESPONSE'),cqas,BLOCK_STAGE,BLOCK_STAGE,CQA_NO_ACCEPTANCE_OPERATOR,,모든 DoE 반응에 판정 방식과 한계값이 필요합니다.,,NONE,,,SPEC:v6.1§14.21,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR003,design_space_rules,1,1,region,REGION_COMPUTATION,not region.all_points_in_domain,region,BLOCK_STAGE,BLOCK_STAGE,REGION_EXTRAPOLATION,,supported domain 밖은 영역에 포함할 수 없습니다.,membership = const.domain_policy,NONE,,B2,SPEC:v6.1§14.13,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR012,design_space_rules,1,1,region,REGION_COMPUTATION,region.domain_policy is None,region,BLOCK_STAGE,BLOCK_STAGE,REGION_DOMAIN_UNDEFINED,,"domain 정책(형태, membership 알고리즘, 분모)이 필요합니다.",,NONE,,B2,SPEC:v6.1§6.D9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR005,design_space_rules,1,1,region,REGION_COMPUTATION,region.method == 'MEAN_ONLY',region,BLOCK_STAGE,BLOCK_STAGE,REGION_NO_UNCERTAINTY,,평균 예측만으로 영역을 만들 수 없습니다.,,NONE,,,SPEC:v6.1§6.D9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR006,design_space_rules,1,1,region,REGION_COMPUTATION,region.feasible_fraction == 0,region,NA,ROUTE,EMPTY_COMMON_REGION,STRATEGY_REVIEW,공동 영역이 비어 있습니다. 규격을 자동 완화하지 않습니다.,,NONE,,,SPEC:v6.1§6.D9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR007,design_space_rules,1,10,region,REGION_COMPUTATION,region.joint_independence_assumed,region,NA,WARNING,REGION_INDEPENDENCE_ASSUMED,,반응 간 독립을 가정한 공동확률입니다 (MVP 근사).,marginal 확률과 잔차 상관 추정을 함께 저장,REASON_ONLY,researcher,B7,SPEC:v6.1§6.D9,STATISTICAL_METHOD,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR008,design_space_rules,1,5,region,REGION_COMPUTATION,region.setpoint_edge_distance < const.setpoint_min_edge_distance_coded,region,NA,WARNING,SETPOINT_ON_EDGE,,권장 setpoint가 domain 경계에 너무 가깝습니다. 내부점을 선택하세요.,,REASON_AND_APPROVER,study_lead,,SPEC:v6.1§6.D9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR009,design_space_rules,1,1,region,WAITING_FINAL_APPROVAL,region.has_operating_range and not region.operating_range_is_subset,region,BLOCK_STAGE,BLOCK_STAGE,OPERATING_RANGE_NOT_SUBSET,,권장 운전범위는 영역의 부분집합이어야 합니다.,,NONE,,,SPEC:v6.1§14.17,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR010,design_space_rules,1,1,region,REGION_COMPUTATION,not region.scope.fixed_conditions_recorded,region,BLOCK_STAGE,BLOCK_STAGE,REGION_SCOPE_MISSING,,성립 조건(scope)이 필요합니다.,,NONE,,,SPEC:v6.1§14.18,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR011,design_space_rules,1,1,region,REGION_COMPUTATION,region.criteria_changed_after_results,region,BLOCK_STAGE,BLOCK_STAGE,CRITERIA_RELAXED_POST_HOC,,결과를 본 뒤 규격을 완화할 수 없습니다.,,NONE,,,SPEC:v6.1§6.D9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
DR013,design_space_rules,1,1,region,WAITING_FINAL_APPROVAL,region.scope.critical_unmanaged_count > 0 and not region.scope.limitations_recorded,region,BLOCK_STAGE,BLOCK_STAGE,UNMANAGED_LIMITATION_MISSING,,관리되지 않은 중요 공정변수가 있으면 검증 주장의 한계를 기록해야 합니다.,,NONE,,D7,SPEC:v6.1§6.D11,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
