seed_id,process_route,risk_category,unit_op_code,cause,failure_mode,local_effect,cqa_effect,candidate_factor,factor_kind,default_disposition,detection_method_ids,evidence_type,source_ids,governance_class,validation_status,version,effective_from
FM001,direct_compression,PROCESS,UO_DC_01,칭량 오차,조성 편차,블렌드 조성 이탈,CQA_ASSAY;CQA_CU_AV,—,—,CONTROL_SOP,TM_ASSAY_HPLC,general_gmp,SRC_ICH_Q9,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM002,direct_compression,PROCESS,UO_DC_02,응집 API 미분쇄,응집체 잔존,국소 과량,CQA_CU_AV;CQA_DISSOLUTION,sieve_mesh,CPP,CONTROL_SOP,TM_CU_USP905,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM003,direct_compression,PROCESS,UO_DC_03,혼합시간 부족,API 분포 불균일,블렌드 균일성 저하,CQA_CU_AV,blend_time,CPP,DOE_CANDIDATE,TM_CU_USP905,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM004,direct_compression,PROCESS,UO_DC_03,원료 간 입도·밀도 차이,분리(segregation),이송 중 조성 변동,CQA_CU_AV,transfer_control,CPP,REQUEST_DATA,TM_CU_USP905,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM005,direct_compression,FORMULATION,,충진제 비율(가소성/취성),결합력 변화,정제 강도 변화,CQA_FRIABILITY;CQA_BREAKING_FORCE;CQA_DISINTEGRATION,filler_ratio,CMA,DOE_CANDIDATE,TM_FRIAB_USP1216;TM_BREAK_USP1217,textbook,SRC_HPE,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM006,direct_compression,FORMULATION,,붕해제 부족,붕해 지연,용출 지연,CQA_DISINTEGRATION;CQA_DISPERSIBILITY;CQA_DISSOLUTION,disintegrant_pct,CMA,DOE_CANDIDATE,TM_DISS_USP711_Q;TM_DISINT_USP701,textbook,SRC_HPE,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM007,direct_compression,FORMULATION,,붕해제 과량,정제 약화,"마손도 증가, 붕해 역효과 가능",CQA_FRIABILITY;CQA_DISINTEGRATION,disintegrant_pct,CMA,DOE_CANDIDATE,TM_FRIAB_USP1216,textbook,SRC_HPE,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM008,direct_compression,PROCESS,UO_DC_04,활택제 과량 또는 과혼합,소수성 피막,젖음성·결합력 저하,CQA_DISSOLUTION;CQA_BREAKING_FORCE,lubricant_pct;lubrication_time,CMA;CPP,DOE_CANDIDATE,TM_DISS_USP711_Q;TM_BREAK_USP1217,textbook,SRC_HPE;SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM009,direct_compression,PROCESS,UO_DC_04,활택 부족,스티킹·피킹,외관·중량 편차,CQA_TABLET_WEIGHT_RSD,lubricant_pct,CMA,CONTROL_SOP,TM_TABLET_WEIGHT_RSD,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM010,direct_compression,PROCESS,UO_DC_05,압축력 과소,결합 부족,강도 저하,CQA_FRIABILITY;CQA_BREAKING_FORCE,compression_force,CPP,DOE_CANDIDATE,TM_FRIAB_USP1216;TM_BREAK_USP1217,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM011,direct_compression,PROCESS,UO_DC_05,압축력 과다,기공 감소,붕해·용출 지연,CQA_DISINTEGRATION;CQA_DISSOLUTION,compression_force,CPP,DOE_CANDIDATE,TM_DISS_USP711_Q,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM012,direct_compression,PROCESS,UO_DC_05,분체 흐름성 불량,다이 충전 불균일,중량편차,CQA_TABLET_WEIGHT_RSD;CQA_CU_AV,glidant_pct,CMA,CONTROL_SOP,TM_TABLET_WEIGHT_RSD;TM_FLOW_CARR,compendial,SRC_USP_1174,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM013,direct_compression,RAW_MATERIAL,,API 입자크기 변동,표면적 변화,용출·균일성 변화,CQA_DISSOLUTION;CQA_CU_AV,api_psd,CMA,MATERIAL_SPEC,TM_PSD_LASER,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM014,direct_compression,RAW_MATERIAL,,API–부형제 상호작용,분해,함량 저하·유연물질 증가,CQA_ASSAY;CQA_IMPURITIES,—,—,REQUEST_DATA,TM_ASSAY_HPLC;TM_IMPURITY_HPLC,guideline,SRC_ICH_Q8,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM015,direct_compression,STORAGE,,흡습,경도·붕해 변화,물리적 특성 변동,CQA_BREAKING_FORCE;CQA_DISINTEGRATION;CQA_WATER,—,—,MONITOR,TM_WATER_KF,guideline,SRC_ICH_Q1A,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
FM016,direct_compression,PROCESS,UO_DC_03,과혼합,미세 API 재분리(demixing),블렌드 균일성 저하,CQA_CU_AV,blend_time,CPP,DOE_CANDIDATE,TM_CU_USP905,textbook,SRC_AULTON,SCIENTIFIC,DRAFT_PENDING_REVIEW,1,2026-09-23
