rule_id,rulebook_id,version,priority,scope,stage,when_expression,required_inputs,missing_value_action,gate_effect,result_code,next_state,message_ko,implementation_hint,human_override,override_approver_role,rationale,source_ids,governance_class,validation_status,owner,effective_from
AA001,approval_authority_rules,1,10,cqa,WAITING_CQA_APPROVAL,change.from_role == 'DOE_RESPONSE' and change.to_role == 'MONITOR_ONLY',change,NA,WARNING,OVR_CQA_ROLE_DOWNGRADE,,DoE 반응을 모니터링으로 전환합니다. 요인 판정에 factor_effect_not_evaluated로 기록됩니다.,,REASON_ONLY,researcher,MONITOR_ONLY는 규격은 확인하지만 요인 효과는 평가하지 않음,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA002,approval_authority_rules,1,10,cqa,WAITING_CQA_APPROVAL,change.to_role == 'NOT_APPLICABLE' and cqa.requirement == 'MANDATORY',change;cqa,REQUEST_DATA,REQUEST_DATA,OVR_CQA_MANDATORY_NA,,필수 CQA를 해당없음으로 바꾸려면 근거가 필요합니다.,,ALTERNATIVE_EVIDENCE,researcher,,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA003,approval_authority_rules,1,1,cqa,WAITING_CQA_APPROVAL,count(c for c in cqas if c.category == 'physical_integrity' and c.analysis_role != 'NOT_APPLICABLE') == 0,cqas,BLOCK_STAGE,BLOCK_STAGE,CQA_PHYSICAL_INTEGRITY_MISSING,,물리적 완전성 CQA를 모두 제외할 수 없습니다.,,NONE,,,SPEC:v6.1§6.D2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA004,approval_authority_rules,1,1,fmea,WAITING_FMEA_APPROVAL,change.op == 'DELETE' and row.severity >= const.fmea_high_severity and (change.alternative_control is None or row.approval_ref is None),change;row,BLOCK_STAGE,BLOCK_STAGE,FMEA_HIGH_SEVERITY_DELETE,,고심각도 항목은 대체 관리수단과 승인 근거 없이 삭제할 수 없습니다.,,NONE,,고심각도 보존 invariant,SPEC:v6.1§6.D3;SRC_ICH_Q9,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA005,approval_authority_rules,1,1,any,ANY,change.field == 'evidence_status' and change.data_ref is None,change,BLOCK_STAGE,BLOCK_STAGE,EVIDENCE_CHANGE_WITHOUT_DATA,,근거 등급은 데이터 연결 없이 바꿀 수 없습니다.,,NONE,,,SPEC:v6.1§0.12,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA006,approval_authority_rules,1,20,fmea,WAITING_FMEA_APPROVAL,change.field == 'occurrence' and change.to_value is not None and change.evidence_ref is None,change,NA,WARNING,FMEA_O_WITHOUT_EVIDENCE,,근거 없는 Occurrence 값은 EXPERT_ASSUMPTION으로 표시됩니다.,,REASON_ONLY,researcher,,SPEC:v6.1§6.D3,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA007,approval_authority_rules,1,20,design,WAITING_SCREENING_APPROVAL|WAITING_RSM_APPROVAL,plan.design_type != selector.recommended_design_type,plan;selector,NA,WARNING,OVR_DESIGN_DIFFERS,,권고와 다른 설계입니다. 사유를 기록하세요.,,REASON_ONLY,researcher,,SPEC:v6.1§6.D5,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA008,approval_authority_rules,1,1,design,SCREENING_PLANNING|RSM_PLANNING,plan.source == 'RESEARCHER_PROVIDED' and validator.status != 'DESIGN_VALID',plan;validator,BLOCK_STAGE,BLOCK_STAGE,IMPORT_DESIGN_INVALID,,가져온 설계가 검증을 통과하지 못했습니다.,,NONE,,,SPEC:v6.1§3.5,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA010,approval_authority_rules,1,1,model,WAITING_MODEL_APPROVAL,change.op == 'REDUCE_MODEL' and not change.preserves_hierarchy,change,BLOCK_STAGE,BLOCK_STAGE,MODEL_HIERARCHY_VIOLATION,,계층성을 깨는 축소는 허용되지 않습니다.,,NONE,,,SPEC:v6.1§14.10;SRC_MONTGOMERY_DAE,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA011,approval_authority_rules,1,20,model,WAITING_MODEL_APPROVAL,change.op == 'EXCLUDE_RUN' and run.influence_flag,change;run,NA,WARNING,OVR_EXCLUDE_INFLUENTIAL_RUN,,영향점 제외에는 사유와 승인이 필요하며 원자료는 보존됩니다.,,REASON_AND_APPROVER,study_lead,자동 삭제 금지,SPEC:v6.1§6.D8,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA012,approval_authority_rules,1,1,any,ANY,"change.op == 'OVERWRITE' and change.source_status in ('APPROVED','LOCKED')",change,BLOCK_STAGE,BLOCK_STAGE,APPROVED_ARTIFACT_OVERWRITE,,승인·잠금된 artifact는 수정할 수 없습니다. 새 버전을 만드세요.,원본 상태 기준,NONE,,,SPEC:v6.1§14.2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA014,approval_authority_rules,1,1,verification,WAITING_VERIFICATION_PLAN_APPROVAL|VERIFICATION_EXECUTION|VERIFICATION_GATE,change.target == 'verification_plan' and plan.locked_at is not None,plan;change,BLOCK_STAGE,BLOCK_STAGE,VERIFICATION_PLAN_LOCKED,,잠긴 확인계획은 수정할 수 없습니다.,,NONE,,,SPEC:v6.1§6.D10,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA015,approval_authority_rules,1,1,region,WAITING_FINAL_APPROVAL,region.status == 'PROVISIONAL' and change.to_value == 'VERIFIED' and not nonempty_all(p.spec_pass_all_applicable and p.within_family_pi_all_doe for p in required_points),region;change;required_points,BLOCK_STAGE,BLOCK_STAGE,PROMOTION_WITHOUT_VERIFICATION,,확인배치 판정 없이 VERIFIED로 승격할 수 없습니다.,,NONE,,,SPEC:v6.1§14.14,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA016,approval_authority_rules,1,20,factor,WAITING_FACTOR_APPROVAL,factor.low.evidence_status == 'EXPERT_ASSUMPTION' or factor.high.evidence_status == 'EXPERT_ASSUMPTION',factor,NA,WARNING,FACTOR_BOUND_ASSUMPTION,,경계값 일부가 연구자 가정입니다.,,REASON_ONLY,researcher,,SPEC:v6.1§3.4,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
AA017,approval_authority_rules,1,1,any,ANY,"rule.gate_effect in ('BLOCK_STAGE','INVALIDATE') and change.op == 'OVERRIDE'",rule;change,BLOCK_STAGE,BLOCK_STAGE,OVERRIDE_NOT_PERMITTED,,차단·무효화 규칙은 override할 수 없습니다.,,NONE,,,SPEC:v6.1§2.2,PROJECT_POLICY,DRAFT_PENDING_REVIEW,formula1-doe,2026-09-23
