rule_id,parameter,stage,measurement_basis,operator,threshold_value,unit,target_range,pass_condition,fail_mode,action,requires_experiment,predictable_at_design,formula,evidence_type,evidence_strength,source_citation,retrieved_on,verification_status,notes
DC001,flowability_carr_index,pre_compression,powder_property,<=,20,%,<=20 (Fair 이상),Carr's index <= 20,다이 충전 불균일 -> 중량편차,REVIEWER_FLAG,no,yes,route_decision_tree 참조,peer_reviewed_practice,strong,powder_flow_scale.csv (USP <1174>); DC는 양호 유동성 요구,2026-07-24,VERIFIED,직접타정은 양호 유동성 필요. powder_flow_scale.csv의 Fair(16-20%) 이상 권장. route와 중복 판정 주의
DC002,flowability_hausner,pre_compression,powder_property,<=,1.25,ratio,<=1.25 (Fair 이상),Hausner <= 1.25,유동 불량,REVIEWER_FLAG,no,yes,powder_flow_scale 참조,peer_reviewed_practice,strong,powder_flow_scale.csv (USP <1174>),2026-07-24,VERIFIED,
DC003,tensile_strength,post_compression,tablet_property,>=,1.7,MPa,1.7-2.0 (권장 >=2.0),TS >= 1.7 MPa,기계적 강도 부족 -> 파손/캡핑,REVIEWER_FLAG,yes,no,"TS = 2F/(pi*D*T) [Fell-Newton, 원형 평면정]",peer_reviewed,strong,Pitt & Heasley 2013; 여러 문헌 합의,2026-07-24,VERIFIED,"핵심 지표. 1.7 MPa 이상이면 통상 충분, 2.0 이상이면 견고. 1.0도 소량배치엔 가능. 반드시 타정 실험 필요"
DC004,tensile_strength_target,post_compression,tablet_property,>=,2.0,MPa,>=2.0 (견고 목표),TS >= 2.0 MPa,,REVIEWER_FLAG,yes,no,동상,peer_reviewed,strong,Pitt & Heasley 2013; 마손도·붕해 영향 고려,2026-07-24,VERIFIED,친유성 목표값. 마손도 통과 및 붕해/용출 비저해 확보 수준
DC005,compaction_pressure,process,process_parameter,between,80;120,MPa,80-120,80 <= P <= 120,<80: 정제 미형성 / >120: 과압축,REVIEWER_FLAG,yes,no,Heckel/PTS 시험,peer_reviewed_practice,moderate,Merlin PC; Natoli whitepaper. 일반 의약정 100-200 MPa도 통용,2026-07-24,VERIFIED_SECONDARY,"최적 tabletability 압력 범위. <80 미형성, >120 과압축(캡핑/라미네이션). 단 제형별 상이(저용량 API는 100-200 흔함)"
DC006,solid_fraction,post_compression,tablet_property,between,0.80;0.90,fraction,0.85 +/- 0.05,0.80 <= SF <= 0.90,고형분율 벗어남 -> 강도/붕해 문제,REVIEWER_FLAG,yes,no,SF = 정제밀도/진밀도,peer_reviewed,moderate,Hancock et al.; 여러 문헌,2026-07-24,VERIFIED_SECONDARY,최적 고형분율 0.85±0.05. 공기:고체 비율 지표
DC007,ejection_shear_stress,process,process_parameter,>,3.0,MPa,<3.0 (초과 시 결함위험),ejection stress < 3 MPa,캡핑/라미네이션,REVIEWER_FLAG,yes,no,,peer_reviewed,moderate,compaction prediction 연구,2026-07-24,VERIFIED_SECONDARY,배출 전단응력 3 MPa 초과 시 결함 가능성 높음. 활택제로 개선
DC008,friability,post_compression,tablet_property,<=,1.0,%,<=1.0,weight loss <= 1.0%,마손 과다,HARD_FAIL,yes,no,USP <1216>,pharmacopeial,strong,"USP <1216> Friability (원문 미대조, 통상 기준)",2026-07-24,VERIFIED_SECONDARY,약전 마손도 기준. 통상 1.0% 이하. dissolution/stability와 함께 완제품 QC
DC009,content_uniformity,post_compression,tablet_property,,,,USP <905>,AV <= L1(15),함량 불균일,HARD_FAIL,yes,no,USP <905>,pharmacopeial,strong,USP <905> Uniformity of Dosage Units (원문 미대조),2026-07-24,VERIFIED_SECONDARY,특히 저용량 API에서 직접타정 시 관건. 혼합 균일성 직결
DC010,dc_suitability_gate,design_screen,composite,,,,유동성 양호 AND 압축성 예측 양호,flow OK AND compressibility likely,,REVIEWER_FLAG,no,partial,route_decision_tree + physchem 종합,system_logic,n/a,route_decision_tree.csv 연계,2026-07-24,VERIFIED,설계 단계 1차 스크리닝. 유동성은 예측 가능하나 압축성은 실험 전 불확실 -> 심사관 판단. 통과해도 DC003-007은 실험 필요
